,model,run,scenario,startyr,endyr,Tavg,dSdt
0,ACCESS-CM2,r1i1p1f1_gn,historical,1850,1900,-0.6174942650132493,0.00015554718673229217
1,ACCESS-CM2,r1i1p1f1_gn,historical,1900,1950,-0.5883046245950823,8.3821602165699e-05
2,ACCESS-CM2,r1i1p1f1_gn,historical,1950,2000,-0.4431638287017563,0.000325113944709301
3,ACCESS-CM2,r1i1p1f1_gn,historical,1992,2014,-0.06592813735750269,0.001289136538451368
4,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1850,1900,-0.8089585373724617,0.0003439423441886902
5,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1900,1950,-0.7805070901945328,0.000456136092543602
6,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1950,2000,-0.6963045573700128,0.000795491561293602
7,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1992,2014,-0.09485506484247708,0.0015342018821022727
8,BCC-CSM2-MR,r1i1p1f1_gn,historical,1850,1900,-0.6589995582924075,0.00045140132308006285
9,BCC-CSM2-MR,r1i1p1f1_gn,historical,1900,1950,-0.6363329197492931,0.000641682893037796
10,BCC-CSM2-MR,r1i1p1f1_gn,historical,1950,2000,-0.4138244299646203,0.001024983748793602
11,BCC-CSM2-MR,r1i1p1f1_gn,historical,1992,2014,-0.06501476894419511,0.0018800676546313546
12,BCC-CSM2-MR,r2i1p1f1_gn,historical,1850,1900,-1.0245120115628765,0.00026097163558006284
13,BCC-CSM2-MR,r2i1p1f1_gn,historical,1900,1950,-0.9844715472833627,0.000540771409869194
14,BCC-CSM2-MR,r2i1p1f1_gn,historical,1950,2000,-0.6841982573939163,0.000772705078125
15,BCC-CSM2-MR,r2i1p1f1_gn,historical,1992,2014,-0.06417581140829043,0.0016571970825845544
16,BCC-CSM2-MR,r3i1p1f1_gn,historical,1850,1900,-0.8610965756370206,0.00012414183467626572
17,BCC-CSM2-MR,r3i1p1f1_gn,historical,1900,1950,-0.8267950420674879,0.000165608711540699
18,BCC-CSM2-MR,r3i1p1f1_gn,historical,1950,2000,-0.5712359684629291,0.0001761881448328495
19,BCC-CSM2-MR,r3i1p1f1_gn,historical,1992,2014,-0.0718692711575386,0.0012808135625990954
20,BCC-ESM1,r1i1p1f1_gn,historical,1850,1900,-0.4671547575248951,0.00010165128856897355
21,BCC-ESM1,r1i1p1f1_gn,historical,1900,1950,-0.4286453819418057,0.0001680501364171505
22,BCC-ESM1,r1i1p1f1_gn,historical,1950,2000,-0.5066916756633191,0.000186767578125
23,BCC-ESM1,r1i1p1f1_gn,historical,1992,2014,-0.06097680364143798,0.0013131805780259046
24,BCC-ESM1,r2i1p1f1_gn,historical,1850,1900,-0.564007407741542,5.55974617600441e-05
25,BCC-ESM1,r2i1p1f1_gn,historical,1900,1950,-0.45849322935299597,0.0001448567770421505
26,BCC-ESM1,r2i1p1f1_gn,historical,1950,2000,-0.4960694608325298,0.0001957193948328495
27,BCC-ESM1,r2i1p1f1_gn,historical,1992,2014,-0.06958062113835695,0.0013473973694172773
28,BCC-ESM1,r3i1p1f1_gn,historical,1850,1900,-0.4753075930561863,0.00028871476650238037
29,BCC-ESM1,r3i1p1f1_gn,historical,1900,1950,-0.4657974252925783,0.000587158128619194
30,BCC-ESM1,r3i1p1f1_gn,historical,1950,2000,-0.5752089538863743,0.000704752653837204
31,BCC-ESM1,r3i1p1f1_gn,historical,1992,2014,-0.08310559018036656,0.0013520211320031774
32,CAMS-CSM1-0,r1i1p1f1_gn,historical,1850,1900,-0.6542680539902221,0.0001506643369793892
33,CAMS-CSM1-0,r1i1p1f1_gn,historical,1900,1950,-0.520867763432534,0.00014485675841569901
34,CAMS-CSM1-0,r1i1p1f1_gn,historical,1950,2000,-0.32726915273190116,0.000443929024040699
35,CAMS-CSM1-0,r1i1p1f1_gn,historical,1992,2014,-0.04888084546018945,0.0019263066351413727
36,CanESM5,r10i1p1f1_gn,historical,1850,1900,-1.2666537880282362,5.7151094079017636e-05
37,CanESM5,r10i1p1f1_gn,historical,1900,1950,-1.1207246864771605,0.000179443359375
38,CanESM5,r10i1p1f1_gn,historical,1950,2000,-0.8763489099324602,0.000500895194709301
39,CanESM5,r10i1p1f1_gn,historical,1992,2014,-0.10720667220221003,0.001681241122159091
40,CanESM5,r10i1p2f1_gn,historical,1850,1900,-1.2835501589461842,1.953125e-05
41,CanESM5,r10i1p2f1_gn,historical,1900,1950,-1.1573592964841168,0.000198567695915699
42,CanESM5,r10i1p2f1_gn,historical,1950,2000,-0.8955555478950714,0.000469970703125
43,CanESM5,r10i1p2f1_gn,historical,1992,2014,-0.1021596181269615,0.001681241122159091
44,CanESM5,r11i1p1f1_gn,historical,1850,1900,-1.2917429519634993,7.57206231355667e-05
45,CanESM5,r11i1p1f1_gn,historical,1900,1950,-1.1337381689673407,0.00016031898558139802
46,CanESM5,r11i1p1f1_gn,historical,1950,2000,-0.7839823180804615,0.000486246757209301
47,CanESM5,r11i1p1f1_gn,historical,1992,2014,-0.07033870105152573,0.0015610204162922773
48,CanESM5,r12i1p1f1_gn,historical,1850,1900,-1.3340899040367162,8.763164281845092e-05
49,CanESM5,r12i1p1f1_gn,historical,1900,1950,-1.1656294516269554,0.00015665691345930098
50,CanESM5,r12i1p1f1_gn,historical,1950,2000,-0.810338781174039,0.000486246757209301
51,CanESM5,r12i1p1f1_gn,historical,1992,2014,-0.06611296649532505,0.00175244886089455
52,CanESM5,r13i1p1f1_gn,historical,1850,1900,-1.3353263013372612,-1.9494220614433287e-05
53,CanESM5,r13i1p1f1_gn,historical,1900,1950,-1.151738685300927,0.000181070938706398
54,CanESM5,r13i1p1f1_gn,historical,1950,2000,-0.8543504268738502,0.000497233085334301
55,CanESM5,r13i1p1f1_gn,historical,1992,2014,-0.10012352775112277,0.001701586287130009
