,model,p,scenario,startyr,endyr,Tavg,dSdt
0,ACCESS-CM2,1,SSP126,2016,2050,1.0077530632354221,0.0024677899976571402
1,ACCESS-CM2,1,SSP126,2051,2100,1.7542525015673693,0.0020739722515450043
2,ACCESS-CM2,1,SSP245,2016,2050,1.0038668647643287,0.0024909276296110716
3,ACCESS-CM2,1,SSP245,2051,2100,2.409167516386219,0.0031201513040633433
4,ACCESS-CM2,1,SSP585,2016,2050,1.1219557215938305,0.0028834674580424436
5,ACCESS-CM2,1,SSP585,2051,2100,3.714670693500674,0.0053943677418896935
6,ACCESS-CM2,1,historical,1850,1900,-0.6174942650132493,8.259356021881104e-05
7,ACCESS-CM2,1,historical,1900,1950,-0.5883046245950823,0.0002200368419289589
8,ACCESS-CM2,1,historical,1950,2000,-0.4431638287017563,0.00023183701559901238
9,ACCESS-CM2,1,historical,1992,2014,-0.06592813735750269,0.001385549506680532
10,ACCESS-ESM1-5,1,SSP126,2016,2050,0.8320337002592169,0.002259504707420574
11,ACCESS-ESM1-5,1,SSP126,2051,2100,1.3087303572483695,0.0017473407241762901
12,ACCESS-ESM1-5,1,SSP245,2016,2050,0.8905466953550748,0.0024914781690812578
13,ACCESS-ESM1-5,1,SSP245,2051,2100,1.988482685016417,0.002860921073933037
14,ACCESS-ESM1-5,1,SSP585,2016,2050,1.0173077338419223,0.0028028372017776266
15,ACCESS-ESM1-5,1,SSP585,2051,2100,3.138318527873556,0.004657790774390811
16,ACCESS-ESM1-5,1,historical,1850,1900,-0.8089585373724617,0.00017727747559547423
17,ACCESS-ESM1-5,1,historical,1900,1950,-0.7805070901945328,0.0001055699959397316
18,ACCESS-ESM1-5,1,historical,1950,2000,-0.6963045573700128,0.0003468623757362366
19,ACCESS-ESM1-5,1,historical,1992,2014,-0.09485506484247708,0.0013108847832137888
20,BCC-CSM2-MR,1,SSP126,2016,2050,0.6934293709054486,0.001124309266314787
21,BCC-CSM2-MR,1,SSP126,2051,2100,0.9830933164753333,0.0005493111224198827
22,BCC-CSM2-MR,1,SSP245,2016,2050,0.7684900045579184,0.00145401871379684
23,BCC-CSM2-MR,1,SSP245,2051,2100,1.6169029031977402,0.0017463473641142553
24,BCC-CSM2-MR,1,SSP585,2016,2050,0.9584607284863296,0.0016712320639806636
25,BCC-CSM2-MR,1,SSP585,2051,2100,2.7309033465028847,0.0035167826073510306
26,BCC-CSM2-MR,1,historical,1850,1900,-0.8482027151641015,-0.00017767534901698434
27,BCC-CSM2-MR,1,historical,1900,1950,-0.8158665030333813,1.5974584966897963e-05
28,BCC-CSM2-MR,1,historical,1950,2000,-0.5564195519404885,0.00033417119334141414
29,BCC-CSM2-MR,1,historical,1992,2014,-0.06701995050334138,0.0011602666398341007
30,BCC-ESM1,1,historical,1850,1900,-0.5021565861075411,0.00016522224992513657
31,BCC-ESM1,1,historical,1900,1950,-0.45097867886245996,0.00023099021986126898
32,BCC-ESM1,1,historical,1950,2000,-0.5259900301274077,0.0002577100073297819
33,BCC-ESM1,1,historical,1992,2014,-0.0712210049867205,0.0013852821606578248
34,CAMS-CSM1-0,1,SSP126,2016,2050,0.4240932620604667,0.0010427460074424744
35,CAMS-CSM1-0,1,SSP245,2016,2050,0.47391899339115184,0.0011926412801532185
36,CAMS-CSM1-0,1,SSP585,2016,2050,0.5451906525502181,0.001371258869767189
37,CAMS-CSM1-0,1,historical,1850,1900,-0.6542680539902221,-1.4649927616119385e-05
38,CAMS-CSM1-0,1,historical,1900,1950,-0.520867763432534,0.0002835404500365257
39,CAMS-CSM1-0,1,historical,1950,2000,-0.32726915273190116,0.00040113482624292373
40,CAMS-CSM1-0,1,historical,1992,2014,-0.04888084546018945,0.0010484033687548204
41,CESM2,1,historical,1850,1900,-0.8784303445675163,0.00014785268530249598
42,CESM2,1,historical,1900,1950,-0.7586826913190521,0.0001492545213550329
43,CESM2,1,historical,1950,2000,-0.5821036945145466,0.00023323883302509783
44,CESM2,1,historical,1992,2014,-0.06491576909189689,0.0013240814039653
45,CIESM,1,SSP126,2016,2050,0.7051762833223165,0.0019793203648398906
46,CIESM,1,SSP126,2051,2100,0.9927154479509568,0.001831202178585286
47,CIESM,1,SSP245,2016,2050,1.0076169371787387,0.002719521084252526
48,CIESM,1,SSP245,2051,2100,2.130034080540838,0.0032819290550387637
49,CIESM,1,SSP585,2016,2050,0.9812230355915403,0.0027991064331110787
50,CIESM,1,SSP585,2051,2100,3.8513925991128986,0.006262271379937931
51,CIESM,1,historical,1850,1900,-1.209504024469254,-0.0005482425913214684
52,CIESM,1,historical,1900,1950,-0.9317298020798148,-0.00028838710859417914
53,CIESM,1,historical,1950,2000,-0.5067673330003686,0.00019053544849157334
54,CIESM,1,historical,1992,2014,-0.06408262355142824,0.0012714866210113871
55,CMCC-CM2-SR5,1,SSP245,2016,2050,0.6999136383324185,0.0014991606859599844
56,CMCC-CM2-SR5,1,SSP245,2051,2100,2.1256501261262883,0.002138136905066821
57,CMCC-CM2-SR5,1,SSP585,2016,2050,0.9054922689683167,0.001867166775114396
58,CMCC-CM2-SR5,1,SSP585,2051,2100,3.2846455086901187,0.0037433203994011394
59,CMCC-CM2-SR5,1,historical,1850,1900,-1.1084295897591687,-3.261394798755646e-05
60,CMCC-CM2-SR5,1,historical,1900,1950,-0.9934243699227068,0.0002509796991944313
61,CMCC-CM2-SR5,1,historical,1950,2000,-0.6241865746335975,0.0002998078614473343
62,CMCC-CM2-SR5,1,historical,1992,2014,-0.08586229979613336,0.0013906356285918844
63,CMCC-ESM2,1,SSP126,2016,2050,0.5814902538688784,0.0016718951656537898
64,CMCC-ESM2,1,SSP126,2051,2100,1.6773851891598497,0.001433652578567972
65,CMCC-ESM2,1,SSP245,2016,2050,0.6246699132338449,0.0016132536179879133
66,CMCC-ESM2,1,SSP245,2051,2100,2.194433167284501,0.0021627530151483963
67,CMCC-ESM2,1,SSP585,2016,2050,0.7015816060980455,0.0021039282574373134
68,CMCC-ESM2,1,SSP585,2051,2100,3.260285309457288,0.003866754624308372
69,CMCC-ESM2,1,historical,1850,1900,-1.05186819465996,-5.155954509973526e-05
70,CMCC-ESM2,1,historical,1900,1950,-0.9032345472710972,0.00021818134933710098
71,CMCC-ESM2,1,historical,1950,2000,-0.5709938273985244,0.000373210571706295
72,CMCC-ESM2,1,historical,1992,2014,-0.07562197734199572,0.0013169990005818281
