,model,p,scenario,startyr,endyr,Tavg,dSdt,model_key,probability_weight
0,ACCESS-CM2,1,SSP126,2016,2050,1.007753063235422,0.002523783813504612,ACCESS-CM2:p1:2016:2050:SSP126,159.47288165674706
1,ACCESS-CM2,1,SSP126,2051,2100,1.7542525015673691,0.0020768560823940093,ACCESS-CM2:p1:2051:2100:SSP126,20.501479256596244
2,ACCESS-CM2,1,SSP245,2016,2050,1.0038668647643287,0.0026089538107900057,ACCESS-CM2:p1:2016:2050:SSP245,250.31671167462267
3,ACCESS-CM2,1,SSP245,2051,2100,2.409167516386219,0.003151545415119249,ACCESS-CM2:p1:2051:2100:SSP245,34.057632276028215
4,ACCESS-CM2,1,SSP585,2016,2050,1.1219557215938305,0.0029687819381554927,ACCESS-CM2:p1:2016:2050:SSP585,311.3927435637021
5,ACCESS-CM2,1,SSP585,2051,2100,3.7146706935006737,0.0052558051891067395,ACCESS-CM2:p1:2051:2100:SSP585,58.76697457011899
6,ACCESS-CM2,1,historical,1850,1900,-0.6174942650132493,0.00015554718673229217,ACCESS-CM2:p1:1850:1900:historical,58.76697457011899
7,ACCESS-CM2,1,historical,1900,1950,-0.5883046245950823,8.3821602165699e-05,ACCESS-CM2:p1:1900:1950:historical,58.76697457011899
8,ACCESS-CM2,1,historical,1950,2000,-0.4431638287017563,0.000325113944709301,ACCESS-CM2:p1:1950:2000:historical,58.76697457011899
9,ACCESS-CM2,1,historical,1992,2014,-0.06592813735750269,0.0012891365384513679,ACCESS-CM2:p1:1992:2014:historical,58.76697457011899
10,ACCESS-ESM1-5,1,SSP126,2016,2050,0.8320337002592169,0.0020253298913731296,ACCESS-ESM1-5:p1:2016:2050:SSP126,473.03998278833785
11,ACCESS-ESM1-5,1,SSP126,2051,2100,1.3087303572483695,0.0015134228025974873,ACCESS-ESM1-5:p1:2051:2100:SSP126,162.49727746596898
12,ACCESS-ESM1-5,1,SSP245,2016,2050,0.8905466953550748,0.002295799480349409,ACCESS-ESM1-5:p1:2016:2050:SSP245,476.49795863904563
13,ACCESS-ESM1-5,1,SSP245,2051,2100,1.988482685016417,0.002659665838796265,ACCESS-ESM1-5:p1:2051:2100:SSP245,143.7526828974587
14,ACCESS-ESM1-5,1,SSP585,2016,2050,1.0173077338419223,0.00257165437819911,ACCESS-ESM1-5:p1:2016:2050:SSP585,506.22674235757995
15,ACCESS-ESM1-5,1,SSP585,2051,2100,3.138318527873556,0.004444079131496196,ACCESS-ESM1-5:p1:2051:2100:SSP585,155.33219936777928
16,ACCESS-ESM1-5,1,historical,1850,1900,-0.8089585373724617,0.0003439423441886902,ACCESS-ESM1-5:p1:1850:1900:historical,155.33219936777928
17,ACCESS-ESM1-5,1,historical,1900,1950,-0.7805070901945328,0.00045613609254360196,ACCESS-ESM1-5:p1:1900:1950:historical,155.33219936777928
18,ACCESS-ESM1-5,1,historical,1950,2000,-0.6963045573700128,0.0007954915612936019,ACCESS-ESM1-5:p1:1950:2000:historical,155.33219936777928
19,ACCESS-ESM1-5,1,historical,1992,2014,-0.09485506484247708,0.0015342018821022727,ACCESS-ESM1-5:p1:1992:2014:historical,155.33219936777928
20,BCC-CSM2-MR,1,SSP126,2016,2050,0.6934293709054486,0.0012781479779411765,BCC-CSM2-MR:p1:2016:2050:SSP126,771.9338635394749
21,BCC-CSM2-MR,1,SSP245,2016,2050,0.7684900045579184,0.0015827254118288266,BCC-CSM2-MR:p1:2016:2050:SSP245,743.3757210458879
22,BCC-CSM2-MR,1,SSP585,2016,2050,0.9584607284863296,0.001604267122114406,BCC-CSM2-MR:p1:2016:2050:SSP585,621.0348065074159
