,model,run,scenario,startyr,endyr,Tavg,dSdt
0,ACCESS-CM2,r1i1p1f1_gn,historical,1850,1900,-0.6174942650132493,8.259356021881104e-05
1,ACCESS-CM2,r1i1p1f1_gn,historical,1900,1950,-0.5883046245950823,0.0002200368419289589
2,ACCESS-CM2,r1i1p1f1_gn,historical,1950,2000,-0.4431638287017563,0.00023183701559901238
3,ACCESS-CM2,r1i1p1f1_gn,historical,1992,2014,-0.06592813735750269,0.001385549506680532
4,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1850,1900,-0.8089585373724617,0.00017727747559547423
5,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1900,1950,-0.7805070901945328,0.0001055699959397316
6,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1950,2000,-0.6963045573700128,0.0003468623757362366
7,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1992,2014,-0.09485506484247708,0.0013108847832137888
8,BCC-CSM2-MR,r1i1p1f1_gn,historical,1850,1900,-0.6589995582924075,-0.0001858380250632763
9,BCC-CSM2-MR,r1i1p1f1_gn,historical,1900,1950,-0.6363329197492931,-7.408618927001953e-05
10,BCC-CSM2-MR,r1i1p1f1_gn,historical,1950,2000,-0.4138244299646203,0.00026526927947998044
11,BCC-CSM2-MR,r1i1p1f1_gn,historical,1992,2014,-0.06501476894419511,0.0010039796206084165
12,BCC-CSM2-MR,r2i1p1f1_gn,historical,1850,1900,-1.0245120115628765,-7.837913930416108e-05
13,BCC-CSM2-MR,r2i1p1f1_gn,historical,1900,1950,-0.9844715472833627,0.00011146068572998047
14,BCC-CSM2-MR,r2i1p1f1_gn,historical,1950,2000,-0.6841982573939163,0.0004947614669799804
15,BCC-CSM2-MR,r2i1p1f1_gn,historical,1992,2014,-0.06417581140829043,0.0013498455624688756
16,BCC-CSM2-MR,r3i1p1f1_gn,historical,1850,1900,-0.8610965756370206,-0.00026880888268351557
17,BCC-CSM2-MR,r3i1p1f1_gn,historical,1900,1950,-0.8267950420674879,1.0549258440732956e-05
18,BCC-CSM2-MR,r3i1p1f1_gn,historical,1950,2000,-0.5712359684629291,0.00024248283356428146
19,BCC-CSM2-MR,r3i1p1f1_gn,historical,1992,2014,-0.0718692711575386,0.0011269747364250097
20,BCC-ESM1,r1i1p1f1_gn,historical,1850,1900,-0.4671547575248951,0.00019556719809770583
21,BCC-ESM1,r1i1p1f1_gn,historical,1900,1950,-0.4286453819418057,0.000237093735486269
22,BCC-ESM1,r1i1p1f1_gn,historical,1950,2000,-0.5066916756633191,0.000247673112899065
23,BCC-ESM1,r1i1p1f1_gn,historical,1992,2014,-0.06097680364143798,0.0013522984967990355
24,BCC-ESM1,r2i1p1f1_gn,historical,1850,1900,-0.564007407741542,0.00017307668924331664
25,BCC-ESM1,r2i1p1f1_gn,historical,1900,1950,-0.45849322935299597,0.000239535141736269
26,BCC-ESM1,r2i1p1f1_gn,historical,1950,2000,-0.4960694608325298,0.0002582525461912155
27,BCC-ESM1,r2i1p1f1_gn,historical,1992,2014,-0.06958062113835695,0.0013846656815572219
28,BCC-ESM1,r3i1p1f1_gn,historical,1850,1900,-0.4753075930561863,0.00012702286243438722
29,BCC-ESM1,r3i1p1f1_gn,historical,1900,1950,-0.4657974252925783,0.000216341782361269
30,BCC-ESM1,r3i1p1f1_gn,historical,1950,2000,-0.5752089538863743,0.000267204362899065
31,BCC-ESM1,r3i1p1f1_gn,historical,1992,2014,-0.08310559018036656,0.0014188823036172173
32,CAMS-CSM1-0,r1i1p1f1_gn,historical,1850,1900,-0.6542680539902221,-1.4649927616119385e-05
33,CAMS-CSM1-0,r1i1p1f1_gn,historical,1900,1950,-0.520867763432534,0.0002835404500365257
34,CAMS-CSM1-0,r1i1p1f1_gn,historical,1950,2000,-0.32726915273190116,0.00040113482624292373
35,CAMS-CSM1-0,r1i1p1f1_gn,historical,1992,2014,-0.04888084546018945,0.0010484033687548204
36,CanESM5,r10i1p1f1_gn,historical,1850,1900,-1.2666537880282362,-0.00016671415418386459
37,CanESM5,r10i1p1f1_gn,historical,1900,1950,-1.1207246864771605,-0.0001727864146232605
38,CanESM5,r10i1p1f1_gn,historical,1950,2000,-0.8763489099324602,0.0001262858510017395
39,CanESM5,r10i1p1f1_gn,historical,1992,2014,-0.10720667220221003,0.0016086633232506838
40,CanESM5,r10i1p2f1_gn,historical,1850,1900,-1.2835501589461842,-0.0002496795728802681
41,CanESM5,r10i1p2f1_gn,historical,1900,1950,-1.1573592964841168,-0.00012764324434101583
42,CanESM5,r10i1p2f1_gn,historical,1950,2000,-0.8955555478950714,0.00019380858168005944
43,CanESM5,r10i1p2f1_gn,historical,1992,2014,-0.1021596181269615,0.0013741545209830458
44,CanESM5,r11i1p1f1_gn,historical,1850,1900,-1.2917429519634993,-0.0002978472597897053
45,CanESM5,r11i1p1f1_gn,historical,1900,1950,-1.1337381689673407,-0.0001190754771232605
46,CanESM5,r11i1p1f1_gn,historical,1950,2000,-0.7839823180804615,0.00015232752077281474
47,CanESM5,r11i1p1f1_gn,historical,1992,2014,-0.07033870105152573,0.0013635979795997794
48,CanESM5,r12i1p1f1_gn,historical,1850,1900,-1.3340899040367162,-0.00024165790528059007
49,CanESM5,r12i1p1f1_gn,historical,1900,1950,-1.1656294516269554,-0.0001573241874575615
50,CanESM5,r12i1p1f1_gn,historical,1950,2000,-0.810338781174039,0.00016860356554389
