,model,run,scenario,startyr,endyr,Tavg,dSdt,r,i,p,f,model_key,probability_weight,counts
0,ACCESS-CM2,r1i1p1f1_gn,historical,1850,1900,-0.6174942650132493,0.00015554718673229217,1,1,1,1,ACCESS-CM2:p1:1850:1900:historical,18.382754872015575,1
1,ACCESS-CM2,r1i1p1f1_gn,historical,1900,1950,-0.5883046245950823,8.3821602165699e-05,1,1,1,1,ACCESS-CM2:p1:1900:1950:historical,18.382754872015575,1
2,ACCESS-CM2,r1i1p1f1_gn,historical,1950,2000,-0.4431638287017563,0.000325113944709301,1,1,1,1,ACCESS-CM2:p1:1950:2000:historical,18.382754872015575,1
3,ACCESS-CM2,r1i1p1f1_gn,historical,1992,2014,-0.06592813735750269,0.0012891365384513679,1,1,1,1,ACCESS-CM2:p1:1992:2014:historical,18.382754872015575,1
4,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1850,1900,-0.8089585373724617,0.0003439423441886902,1,1,1,1,ACCESS-ESM1-5:p1:1850:1900:historical,65.31491368135327,1
5,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1900,1950,-0.7805070901945328,0.00045613609254360196,1,1,1,1,ACCESS-ESM1-5:p1:1900:1950:historical,65.31491368135327,1
6,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1950,2000,-0.6963045573700128,0.0007954915612936019,1,1,1,1,ACCESS-ESM1-5:p1:1950:2000:historical,65.31491368135327,1
7,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1992,2014,-0.09485506484247708,0.0015342018821022727,1,1,1,1,ACCESS-ESM1-5:p1:1992:2014:historical,65.31491368135327,1
8,BCC-CSM2-MR,r1i1p1f1_gn,historical,1850,1900,-0.6589995582924075,0.0004514013230800629,1,1,1,1,BCC-CSM2-MR:p1:1850:1900:historical,0.0,3
9,BCC-CSM2-MR,r2i1p1f1_gn,historical,1850,1900,-1.0245120115628763,0.00026097163558006284,2,1,1,1,BCC-CSM2-MR:p1:1850:1900:historical,0.0,3
10,BCC-CSM2-MR,r3i1p1f1_gn,historical,1850,1900,-0.8610965756370206,0.00012414183467626572,3,1,1,1,BCC-CSM2-MR:p1:1850:1900:historical,0.0,3
11,BCC-CSM2-MR,r1i1p1f1_gn,historical,1900,1950,-0.6363329197492931,0.000641682893037796,1,1,1,1,BCC-CSM2-MR:p1:1900:1950:historical,0.0,3
12,BCC-CSM2-MR,r2i1p1f1_gn,historical,1900,1950,-0.9844715472833628,0.000540771409869194,2,1,1,1,BCC-CSM2-MR:p1:1900:1950:historical,0.0,3
13,BCC-CSM2-MR,r3i1p1f1_gn,historical,1900,1950,-0.8267950420674879,0.000165608711540699,3,1,1,1,BCC-CSM2-MR:p1:1900:1950:historical,0.0,3
14,BCC-CSM2-MR,r1i1p1f1_gn,historical,1950,2000,-0.4138244299646203,0.001024983748793602,1,1,1,1,BCC-CSM2-MR:p1:1950:2000:historical,0.0,3
15,BCC-CSM2-MR,r2i1p1f1_gn,historical,1950,2000,-0.6841982573939163,0.000772705078125,2,1,1,1,BCC-CSM2-MR:p1:1950:2000:historical,0.0,3
16,BCC-CSM2-MR,r3i1p1f1_gn,historical,1950,2000,-0.5712359684629291,0.00017618814483284952,3,1,1,1,BCC-CSM2-MR:p1:1950:2000:historical,0.0,3
17,BCC-CSM2-MR,r1i1p1f1_gn,historical,1992,2014,-0.06501476894419511,0.0018800676546313548,1,1,1,1,BCC-CSM2-MR:p1:1992:2014:historical,0.0,3
18,BCC-CSM2-MR,r2i1p1f1_gn,historical,1992,2014,-0.06417581140829043,0.0016571970825845544,2,1,1,1,BCC-CSM2-MR:p1:1992:2014:historical,0.0,3
19,BCC-CSM2-MR,r3i1p1f1_gn,historical,1992,2014,-0.0718692711575386,0.0012808135625990956,3,1,1,1,BCC-CSM2-MR:p1:1992:2014:historical,0.0,3
20,BCC-ESM1,r1i1p1f1_gn,historical,1850,1900,-0.4671547575248951,0.00010165128856897356,1,1,1,1,BCC-ESM1:p1:1850:1900:historical,0.0,3
21,BCC-ESM1,r2i1p1f1_gn,historical,1850,1900,-0.564007407741542,5.5597461760044104e-05,2,1,1,1,BCC-ESM1:p1:1850:1900:historical,0.0,3
22,BCC-ESM1,r3i1p1f1_gn,historical,1850,1900,-0.4753075930561863,0.0002887147665023804,3,1,1,1,BCC-ESM1:p1:1850:1900:historical,0.0,3
23,BCC-ESM1,r1i1p1f1_gn,historical,1900,1950,-0.4286453819418057,0.0001680501364171505,1,1,1,1,BCC-ESM1:p1:1900:1950:historical,0.0,3
24,BCC-ESM1,r2i1p1f1_gn,historical,1900,1950,-0.458493229352996,0.0001448567770421505,2,1,1,1,BCC-ESM1:p1:1900:1950:historical,0.0,3
25,BCC-ESM1,r3i1p1f1_gn,historical,1900,1950,-0.4657974252925783,0.000587158128619194,3,1,1,1,BCC-ESM1:p1:1900:1950:historical,0.0,3
