Component,Source,CMIPModel,Run,Scenario,startyr,endyr,Tavg,dSdt
steric,CMIP6_RB,ACCESS-CM2,r1i1p1f1_gn,historical,1850,1900,-0.6174942650131356,0.15249723546645222
steric,CMIP6_RB,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1850,1900,-0.8089585373724049,0.33719836964326744
steric,CMIP6_RB,BCC-CSM2-MR,r1i1p1f1_gn,historical,1850,1900,-0.6589995582923507,0.4425502103917739
steric,CMIP6_RB,BCC-CSM2-MR,r2i1p1f1_gn,historical,1850,1900,-1.0245120115628197,0.25585443833295035
steric,CMIP6_RB,BCC-CSM2-MR,r3i1p1f1_gn,historical,1850,1900,-0.8610965756370774,0.12170765446681603
steric,CMIP6_RB,BCC-ESM1,r1i1p1f1_gn,historical,1850,1900,-0.46715475752495195,0.09965810588761873
steric,CMIP6_RB,BCC-ESM1,r2i1p1f1_gn,historical,1850,1900,-0.5640074077414852,0.05450734905168122
steric,CMIP6_RB,BCC-ESM1,r3i1p1f1_gn,historical,1850,1900,-0.4753075930561863,0.28305382822074143
steric,CMIP6_RB,CAMS-CSM1-0,r1i1p1f1_gn,historical,1850,1900,-0.6542680539901653,0.14771020178701363
steric,CMIP6_RB,CanESM5,r10i1p1f1_gn,historical,1850,1900,-1.2666537880281794,0.056030497831456805
steric,CMIP6_RB,CanESM5,r10i1p2f1_gn,historical,1850,1900,-1.2835501589461273,0.01914828431372549
steric,CMIP6_RB,CanESM5,r11i1p1f1_gn,historical,1850,1900,-1.2917429519634993,0.07423587873870251
steric,CMIP6_RB,CanESM5,r12i1p1f1_gn,historical,1850,1900,-1.3340899040366594,0.08591341504863664
steric,CMIP6_RB,CanESM5,r13i1p1f1_gn,historical,1850,1900,-1.3353263013372612,-0.019112007290709252
steric,CMIP6_RB,CanESM5,r14i1p1f1_gn,historical,1850,1900,-1.2995628020015033,0.005838730755974264
steric,CMIP6_RB,CanESM5,r15i1p1f1_gn,historical,1850,1900,-1.2866496852793716,0.10749151192459405
steric,CMIP6_RB,CanESM5,r16i1p1f1_gn,historical,1850,1900,-1.235677332606599,0.03423481361538756
steric,CMIP6_RB,CanESM5,r17i1p1f1_gn,historical,1850,1900,-1.2966652907123262,0.05084452909581801
steric,CMIP6_RB,CanESM5,r18i1p1f1_gn,historical,1850,1900,-1.367600495478655,0.08834322761086856
steric,CMIP6_RB,CanESM5,r19i1p1f1_gn,historical,1850,1900,-1.308222974465025,0.032566556743547026
steric,CMIP6_RB,CanESM5,r1i1p1f1_gn,historical,1850,1900,-1.2267936855262178,0.05142477446911382
steric,CMIP6_RB,CanESM5,r1i1p2f1_gn,historical,1850,1900,-1.3373386854718206,0.10662116256414675
steric,CMIP6_RB,CanESM5,r20i1p1f1_gn,historical,1850,1900,-1.2618771294215207,0.08950371835746017
steric,CMIP6_RB,CanESM5,r21i1p1f1_gn,historical,1850,1900,-1.3193661958821394,0.037136077880859375
steric,CMIP6_RB,CanESM5,r22i1p1f1_gn,historical,1850,1900,-1.341634229928502,0.17019488764744178
steric,CMIP6_RB,CanESM5,r23i1p1f1_gn,historical,1850,1900,-1.3442605645075218,0.1017615374396829
steric,CMIP6_RB,CanESM5,r24i1p1f1_gn,historical,1850,1900,-1.3444582420401048,0.14169004851696537
steric,CMIP6_RB,CanESM5,r25i1p1f1_gn,historical,1850,1900,-1.2544712448703876,-0.03822408937940411
steric,CMIP6_RB,CanESM5,r2i1p1f1_gn,historical,1850,1900,-1.1663750400281856,0.037172280105890014
steric,CMIP6_RB,CanESM5,r2i1p2f1_gn,historical,1850,1900,-1.26367981385323,-0.028359731038411457
steric,CMIP6_RB,CanESM5,r3i1p1f1_gn,historical,1850,1900,-1.2234106377077865,0.10542439479453891
steric,CMIP6_RB,CanESM5,r3i1p2f1_gn,historical,1850,1900,-1.212313606278201,0.14241536458333334
steric,CMIP6_RB,CanESM5,r4i1p1f1_gn,historical,1850,1900,-1.3712314064555358,0.05254895079369638
steric,CMIP6_RB,CanESM5,r4i1p2f1_gn,historical,1850,1900,-1.2666179030567832,-0.0011604907465916053
steric,CMIP6_RB,CanESM5,r5i1p1f1_gn,historical,1850,1900,-1.2025996045201737,0.03760752958409926
steric,CMIP6_RB,CanESM5,r5i1p2f1_gn,historical,1850,1900,-1.3262200327924916,0.09407320209577971
steric,CMIP6_RB,CanESM5,r6i1p1f1_gn,historical,1850,1900,-1.3102782269021986,-0.021904515285117953
steric,CMIP6_RB,CanESM5,r6i1p2f1_gn,historical,1850,1900,-1.2907108269897094,-0.06154288497625613
steric,CMIP6_RB,CanESM5,r7i1p1f1_gn,historical,1850,1900,-1.260995066421458,0.04855974982766544
steric,CMIP6_RB,CanESM5,r7i1p2f1_gn,historical,1850,1900,-1.3591116377954222,-0.009138967476639092
steric,CMIP6_RB,CanESM5,r8i1p1f1_gn,historical,1850,1900,-1.3490102897104634,-0.0012692470176547182
steric,CMIP6_RB,CanESM5,r8i1p2f1_gn,historical,1850,1900,-1.1982042683135887,0.053056679519952514
steric,CMIP6_RB,CanESM5,r9i1p1f1_gn,historical,1850,1900,-1.2239704039212143,0.04939389696308211
steric,CMIP6_RB,CanESM5,r9i1p2f1_gn,historical,1850,1900,-1.3638139169528927,0.17023116467045804
steric,CMIP6_RB,CESM2,r11i1p1f1_gr,historical,1850,1900,-0.7112384436493357,0.056284343495088464
steric,CMIP6_RB,CESM2,r2i1p1f1_gr,historical,1850,1900,-0.9707167463753308,0.12885198406144685
steric,CMIP6_RB,CESM2,r4i1p1f1_gr,historical,1850,1900,-0.8951737446749348,0.16004050011728324
steric,CMIP6_RB,CESM2,r6i1p1f1_gr,historical,1850,1900,-0.9478895424765597,0.23206411623487286
steric,CMIP6_RB,CESM2,r8i1p1f1_gr,historical,1850,1900,-0.8671332456613641,0.6003784478879443
steric,CMIP6_RB,CIESM,r1i1p1f1_gn,historical,1850,1900,-1.209504024469254,0.42209640203737747
steric,CMIP6_RB,CMCC-CM2-SR5,r1i1p1f1_gn,historical,1850,1900,-1.1084295897591119,0.38144250009574143
steric,CMIP6_RB,CMCC-ESM2,r1i1p1f1_gn,historical,1850,1900,-1.05186819465996,
steric,CMIP6_RB,CNRM-CM6-1,r10i1p1f2_gn,historical,1850,1900,-0.758351725048783,
steric,CMIP6_RB,CNRM-CM6-1,r1i1p1f2_gn,historical,1850,1900,-0.8373497214319627,
steric,CMIP6_RB,CNRM-CM6-1,r2i1p1f2_gn,historical,1850,1900,-0.7766019969776039,
steric,CMIP6_RB,CNRM-CM6-1,r3i1p1f2_gn,historical,1850,1900,-0.8292999680260777,
steric,CMIP6_RB,CNRM-CM6-1,r4i1p1f2_gn,historical,1850,1900,-0.7691699040695994,
steric,CMIP6_RB,CNRM-CM6-1,r5i1p1f2_gn,historical,1850,1900,-0.8335841312065213,
steric,CMIP6_RB,CNRM-CM6-1,r6i1p1f2_gn,historical,1850,1900,-0.9125812394207742,
steric,CMIP6_RB,CNRM-CM6-1,r7i1p1f2_gn,historical,1850,1900,-0.7271545612949808,
steric,CMIP6_RB,CNRM-CM6-1,r8i1p1f2_gn,historical,1850,1900,-0.4538952718289124,
steric,CMIP6_RB,CNRM-CM6-1,r9i1p1f2_gn,historical,1850,1900,-0.6892717918463518,
steric,CMIP6_RB,CNRM-ESM2-1,r2i1p1f2_gn,historical,1850,1900,-0.674989664678435,
steric,CMIP6_RB,CNRM-ESM2-1,r3i1p1f2_gn,historical,1850,1900,-0.5044792248319823,
steric,CMIP6_RB,CNRM-ESM2-1,r4i1p1f2_gn,historical,1850,1900,-0.5287129137040552,
steric,CMIP6_RB,CNRM-ESM2-1,r5i1p1f2_gn,historical,1850,1900,-0.5359357678574383,0.021251697166293274
steric,CMIP6_RB,E3SM-1-1,r1i1p1f1_gr,historical,1850,1900,-0.47922150455605106,0.061325283611522
steric,CMIP6_RB,E3SM-1-1-ECA,r1i1p1f1_gr,historical,1850,1900,-0.6075594368397219,0.08805308622472427
steric,CMIP6_RB,EC-Earth3-CC,r1i1p1f1_gn,historical,1850,1900,-1.4027734797650169,0.3515595828785616
steric,CMIP6_RB,EC-Earth3-Veg,r1i1p1f1_gn,historical,1850,1900,-1.3220684628331014,0.1832142250210631
steric,CMIP6_RB,FGOALS-f3-L,r1i1p1f1_gn,historical,1850,1900,-1.0877670296078463,-1.792758118872549
steric,CMIP6_RB,FGOALS-g3,r1i1p1f1_gn,historical,1850,1900,-0.9802967429715181,0.1832142250210631
steric,CMIP6_RB,FIO-ESM-2-0,r1i1p1f1_gn,historical,1850,1900,-1.1764135636753394,0.41778070786420035
steric,CMIP6_RB,GFDL-CM4,r1i1p1f1_gn,historical,1850,1900,-0.7184561893076875,0.2603876076492609
steric,CMIP6_RB,GFDL-ESM4,r1i1p1f1_gn,historical,1850,1900,-0.62136354373024,-0.018531761917413448
steric,CMIP6_RB,GISS-E2-1-G,r10i1p1f1_gn,historical,1850,1900,-0.6847377844029552,0.021287992888805913
steric,CMIP6_RB,GISS-E2-1-G,r1i1p1f1_gn,historical,1850,1900,-0.6701585783718542,0.0130919662176394
steric,CMIP6_RB,GISS-E2-1-G,r2i1p1f1_gn,historical,1850,1900,-0.7156207890940323,0.0826858071719899
steric,CMIP6_RB,GISS-E2-1-G,r3i1p1f1_gn,historical,1850,1900,-0.7769761483846196,0.1104290532130821
steric,CMIP6_RB,GISS-E2-1-G,r4i1p1f1_gn,historical,1850,1900,-0.6966733905592832,0.011967677696078432
steric,CMIP6_RB,GISS-E2-1-G,r5i1p1f1_gn,historical,1850,1900,-0.7103881082921362,-7.2479248046875e-05
steric,CMIP6_RB,GISS-E2-1-G,r6i1p1f1_gn,historical,1850,1900,-0.7308234483233491,0.01247540642233456
steric,CMIP6_RB,GISS-E2-1-G,r7i1p1f1_gn,historical,1850,1900,-0.7501702344555952,0.036084343405330885
steric,CMIP6_RB,GISS-E2-1-G,r8i1p1f1_gn,historical,1850,1900,-0.7574937921613127,-0.0010154200535194547
steric,CMIP6_RB,GISS-E2-1-G,r9i1p1f1_gn,historical,1850,1900,-0.7317513261294835,-0.061180189544079354
steric,CMIP6_RB,GISS-E2-1-G-CC,r1i1p1f1_gn,historical,1850,1900,-0.8006205076856077,0.1268936232024548
steric,CMIP6_RB,HadGEM3-GC31-LL,r1i1p1f3_gn,historical,1850,1900,-0.7459089893893065,0.0738369062835095
steric,CMIP6_RB,HadGEM3-GC31-LL,r2i1p1f3_gn,historical,1850,1900,-0.8888284232023693,0.10226922876694623
steric,CMIP6_RB,HadGEM3-GC31-LL,r3i1p1f3_gn,historical,1850,1900,-0.5743139414759071,0.03238528382544424
steric,CMIP6_RB,HadGEM3-GC31-LL,r4i1p1f3_gn,historical,1850,1900,-0.49920486774618666,0.13363905513987823
steric,CMIP6_RB,HadGEM3-GC31-LL,r5i1p1f3_gn,historical,1850,1900,-0.4511655231109444,0.4178896137312347
steric,CMIP6_RB,HadGEM3-GC31-MM,r1i1p1f3_gn,historical,1850,1900,-0.6563777779393263,0.5381103216433057
steric,CMIP6_RB,HadGEM3-GC31-MM,r2i1p1f3_gn,historical,1850,1900,-0.6910416661169734,0.5222621992522595
steric,CMIP6_RB,HadGEM3-GC31-MM,r3i1p1f3_gn,historical,1850,1900,-0.6724695836944647,0.3926848617254519
steric,CMIP6_RB,HadGEM3-GC31-MM,r4i1p1f3_gn,historical,1850,1900,-0.7047352228829595,-0.7506273307052314
steric,CMIP6_RB,INM-CM4-8,r1i1p1f1_gr1,historical,1850,1900,-0.8513765566731308,-0.6910789340150123
steric,CMIP6_RB,INM-CM5-0,r1i1p1f1_gr1,historical,1850,1900,-0.791365116854422,0.007978476730047488
steric,CMIP6_RB,IPSL-CM5A2-INCA,r1i1p1f1_gn,historical,1850,1900,-1.3026430666056967,-0.01167753630993413
steric,CMIP6_RB,IPSL-CM6A-LR,r1i1p1f1_gn,historical,1850,1900,-1.0826777763616064,-0.07260389888987821
steric,CMIP6_RB,IPSL-CM6A-LR,r2i1p1f1_gn,historical,1850,1900,-1.1393184287875329,0.036954767563763785
steric,CMIP6_RB,IPSL-CM6A-LR,r3i1p1f1_gn,historical,1850,1900,-1.1435724969003331,0.08565955068550858
steric,CMIP6_RB,IPSL-CM6A-LR,r4i1p1f1_gn,historical,1850,1900,-1.0381185369553805,-0.012656716739430147
steric,CMIP6_RB,IPSL-CM6A-LR,r5i1p1f1_gn,historical,1850,1900,-1.1091544631260035,-0.14557049321193322
steric,CMIP6_RB,IPSL-CM6A-LR,r6i1p1f1_gn,historical,1850,1900,-0.8982834984274746,-0.1363227320652382
steric,CMIP6_RB,IPSL-CM6A-LR,r7i1p1f1_gn,historical,1850,1900,-1.1529814851049878,-0.06419028487859987
steric,CMIP6_RB,IPSL-CM6A-LR,r8i1p1f1_gn,historical,1850,1900,-0.9978871164758516,0.06313858780206419
steric,CMIP6_RB,IPSL-CM6A-LR,r9i1p1f1_gn,historical,1850,1900,-1.1708138534445993,-0.11786348679486443
steric,CMIP6_RB,IPSL-CM6A-LR-INCA,r1i1p1f1_gn,historical,1850,1900,-1.0730884402405536,-0.46032041661879597
steric,CMIP6_RB,MIROC6,r1i1p1f1_gm,historical,1850,1900,-0.5902903823158567,-0.01153248431635838
steric,CMIP6_RB,MPI-ESM-1-2-HAM,r1i1p1f1_gn,historical,1850,1900,-0.4541252074652675,-0.04754429237515319
steric,CMIP6_RB,MPI-ESM1-2-HR,r1i1p1f1_gn,historical,1850,1900,-0.8275648415876731,-0.09784489051968444
steric,CMIP6_RB,MPI-ESM1-2-LR,r1i1p1f1_gn,historical,1850,1900,-0.886295348085298,0.23252509622012868
steric,CMIP6_RB,MRI-ESM2-0,r1i1p1f1_gm,historical,1850,1900,-0.7077356322053561,-0.0669102014279833
steric,CMIP6_RB,NESM3,r1i1p1f1_gn,historical,1850,1900,-0.824246626736965,0.04620810583526013
steric,CMIP6_RB,NorESM2-LM,r1i1p1f1_gm,historical,1850,1900,-0.5841489508798645,0.036525759042478075
steric,CMIP6_RB,NorESM2-MM,r1i1p1f1_gm,historical,1850,1900,-0.4716461031428594,-0.11267749935972925
steric,CMIP6_RB,SAM0-UNICON,r1i1p1f1_gn,historical,1850,1900,-0.6469212985735453,-0.040363713806750724
steric,CMIP6_RB,UKESM1-0-LL,r10i1p1f2_gn,historical,1850,1900,-0.8222378881235386,0.040907700856526695
steric,CMIP6_RB,UKESM1-0-LL,r11i1p1f2_gn,historical,1850,1900,-0.6055728942665723,-0.00047145404067693974
steric,CMIP6_RB,UKESM1-0-LL,r12i1p1f2_gn,historical,1850,1900,-0.5770180789330652,0.007361954333735448
steric,CMIP6_RB,UKESM1-0-LL,r13i1p1f2_gn,historical,1850,1900,-0.5527305852256745,-0.051787399778179095
steric,CMIP6_RB,UKESM1-0-LL,r16i1p1f2_gn,historical,1850,1900,-0.7164186023883872,-0.05222259315789914
steric,CMIP6_RB,UKESM1-0-LL,r17i1p1f2_gn,historical,1850,1900,-0.6429981924597996,0.029411474863688152
steric,CMIP6_RB,UKESM1-0-LL,r18i1p1f2_gn,historical,1850,1900,-0.7260097713452183,-0.19931623047473385
steric,CMIP6_RB,UKESM1-0-LL,r19i1p1f2_gn,historical,1850,1900,-0.6225589968515237,-0.10629474415498621
steric,CMIP6_RB,UKESM1-0-LL,r1i1p1f2_gn,historical,1850,1900,-0.6879773285603505,-0.06832456121257707
steric,CMIP6_RB,UKESM1-0-LL,r2i1p1f2_gn,historical,1850,1900,-0.5082653506220254,-0.033988204656862746
steric,CMIP6_RB,UKESM1-0-LL,r3i1p1f2_gn,historical,1850,1900,-0.6642173146820483,-0.11967677696078431
steric,CMIP6_RB,UKESM1-0-LL,r4i1p1f2_gn,historical,1850,1900,-0.5797600779430354,-0.003517772637161554
steric,CMIP6_RB,UKESM1-0-LL,r5i1p1f3_gn,historical,1850,1900,-0.7353572447896113,-0.04975653162189558
steric,CMIP6_RB,UKESM1-0-LL,r6i1p1f3_gn,historical,1850,1900,-0.6694258019959989,-0.06422653852724562
steric,CMIP6_RB,UKESM1-0-LL,r7i1p1f3_gn,historical,1850,1900,-0.5099733148986729,-0.01220703125
steric,CMIP6_RB,UKESM1-0-LL,r8i1p1f2_gn,historical,1850,1900,-0.7697549470370291,-0.01087970593396355
steric,CMIP6_RB,UKESM1-0-LL,r9i1p1f2_gn,historical,1850,1900,-0.5955299404789116,0.27569176169002757
steric,CMIP6_RB,ACCESS-CM2,r1i1p1f1_gn,historical,1900,1950,-0.5883046245950823,0.08217804104674097
steric,CMIP6_RB,ACCESS-ESM1-5,r1i1p1f1_gn,historical,1900,1950,-0.7805070901943623,0.4471921733781403
steric,CMIP6_RB,BCC-CSM2-MR,r1i1p1f1_gn,historical,1900,1950,-0.6363329197492362,0.6291008743585325
steric,CMIP6_RB,BCC-CSM2-MR,r2i1p1f1_gn,historical,1900,1950,-0.9844715472834196,0.5301680471382889
steric,CMIP6_RB,BCC-CSM2-MR,r3i1p1f1_gn,historical,1900,1950,-0.8267950420674879,0.16236148161046646
steric,CMIP6_RB,BCC-ESM1,r1i1p1f1_gn,historical,1900,1950,-0.4286453819418625,0.16475503584917853
steric,CMIP6_RB,BCC-ESM1,r2i1p1f1_gn,historical,1900,1950,-0.4584932293529391,0.1420164482266295
steric,CMIP6_RB,BCC-ESM1,r3i1p1f1_gn,historical,1900,1950,-0.46579742529252144,0.575645222383387
steric,CMIP6_RB,CAMS-CSM1-0,r1i1p1f1_gn,historical,1900,1950,-0.5208677634324772,0.14201642952713311
steric,CMIP6_RB,CanESM5,r10i1p1f1_gn,historical,1900,1950,-1.1207246864771037,0.17592486213235295
steric,CMIP6_RB,CanESM5,r10i1p2f1_gn,historical,1900,1950,-1.15735929648406,0.19467421138987823
steric,CMIP6_RB,CanESM5,r11i1p1f1_gn,historical,1900,1950,-1.1337381689673975,0.15717547547583485
steric,CMIP6_RB,CanESM5,r12i1p1f1_gn,historical,1900,1950,-1.1656294516268417,0.15358520956600413
steric,CMIP6_RB,CanESM5,r13i1p1f1_gn,historical,1900,1950,-1.1517386853008134,0.1775205275591682
steric,CMIP6_RB,CanESM5,r14i1p1f1_gn,historical,1900,1950,-1.1648416006585762,0.20624299142874924
steric,CMIP6_RB,CanESM5,r15i1p1f1_gn,historical,1900,1950,-1.1047455344433956,0.13443692525227866
steric,CMIP6_RB,CanESM5,r16i1p1f1_gn,historical,1900,1950,-1.051793706057424,0.21860960418102787
steric,CMIP6_RB,CanESM5,r17i1p1f1_gn,historical,1900,1950,-1.129374798735114,0.16874421811571308
steric,CMIP6_RB,CanESM5,r18i1p1f1_gn,historical,1900,1950,-1.2089954053130896,0.188690372541839
steric,CMIP6_RB,CanESM5,r19i1p1f1_gn,historical,1900,1950,-1.1035113688931233,0.14760137071796492
steric,CMIP6_RB,CanESM5,r1i1p1f1_gn,historical,1900,1950,-1.0794076797890853,0.10770909926470588
steric,CMIP6_RB,CanESM5,r1i1p2f1_gn,historical,1900,1950,-1.0963456115773056,0.14042076410031787
steric,CMIP6_RB,CanESM5,r20i1p1f1_gn,historical,1900,1950,-1.1143645019373594,0.1862968744016161
steric,CMIP6_RB,CanESM5,r21i1p1f1_gn,historical,1900,1950,-1.0818879943570323,0.2385556838091682
steric,CMIP6_RB,CanESM5,r22i1p1f1_gn,historical,1900,1950,-1.2051596453334241,0.1499948688581878
steric,CMIP6_RB,CanESM5,r23i1p1f1_gn,historical,1900,1950,-1.135732044118754,0.2106310900519876
steric,CMIP6_RB,CanESM5,r24i1p1f1_gn,historical,1900,1950,-1.211360517726746,0.1392239589317172
steric,CMIP6_RB,CanESM5,r25i1p1f1_gn,historical,1900,1950,-1.0830521263163746,0.22339667525945925
steric,CMIP6_RB,CanESM5,r2i1p1f1_gn,historical,1900,1950,-1.0545079036488687,0.24533743016860066
steric,CMIP6_RB,CanESM5,r2i1p2f1_gn,historical,1900,1950,-1.0640641119095449,0.2138224957036037
