,ice_source,region,sample,scenario,riskaverse,startyr,endyr,Tavg,dSdt
0,AIS,EAIS,1,SSP119,,2016,2050,0.6315196679135713,7.441764705882353e-05
1,AIS,EAIS,1,SSP119,,2051,2100,0.5676250964849998,0.0005491646258503402
2,AIS,EAIS,2,SSP119,,2016,2050,0.46779109648499995,-0.00014876470588235296
3,AIS,EAIS,2,SSP119,,2051,2100,0.40248909648500003,8.41700680272109e-05
4,AIS,EAIS,3,SSP119,,2016,2050,0.437373953627857,6.712745098039216e-05
5,AIS,EAIS,3,SSP119,,2051,2100,0.4020010964849999,0.0007205591836734693
6,AIS,EAIS,4,SSP119,,2016,2050,0.6212996679135715,-5.042549019607842e-05
7,AIS,EAIS,4,SSP119,,2051,2100,1.3330530964849998,0.00030515510204081627
8,AIS,EAIS,5,SSP119,,2016,2050,0.7717310964849999,5.579411764705883e-05
9,AIS,EAIS,5,SSP119,,2051,2100,0.9288330964849998,0.0020125020408163262
10,AIS,EAIS,6,SSP119,,2016,2050,0.44069966791357135,0.00014410392156862745
11,AIS,EAIS,6,SSP119,,2051,2100,0.4381810964849999,-8.853605442176875e-05
12,AIS,EAIS,7,SSP119,,2016,2050,0.4692253821992856,2.9082352941176465e-05
13,AIS,EAIS,7,SSP119,,2051,2100,0.4320370964849999,0.0011687537414965987
14,AIS,EAIS,8,SSP119,,2016,2050,0.6048282393421427,1.4288235294117643e-05
15,AIS,EAIS,8,SSP119,,2051,2100,0.676109096485,-2.0696598639455772e-05
16,AIS,EAIS,9,SSP119,,2016,2050,0.5996253821992856,-9.607843137254604e-08
17,AIS,EAIS,9,SSP119,,2051,2100,0.5755230964849999,0.0001754408163265306
18,AIS,EAIS,10,SSP119,,2016,2050,0.5541996679135714,0.00010456862745098039
19,AIS,EAIS,10,SSP119,,2051,2100,0.627319096485,0.0004855401360544217
20,AIS,EAIS,11,SSP119,,2016,2050,0.44917681077071414,0.00012103529411764706
21,AIS,EAIS,11,SSP119,,2051,2100,0.43346909648499987,0.0019998176870748303
22,AIS,EAIS,12,SSP119,,2016,2050,0.46603395362785704,4.6139215686274505e-05
23,AIS,EAIS,12,SSP119,,2051,2100,0.44320509648499995,4.7122448979591834e-05
24,AIS,EAIS,13,SSP119,,2016,2050,0.5380196679135714,0.0001979607843137255
25,AIS,EAIS,13,SSP119,,2051,2100,0.4461010964849999,0.0012804163265306124
26,AIS,EAIS,14,SSP119,,2016,2050,0.7917539536278569,6.574705882352939e-05
27,AIS,EAIS,14,SSP119,,2051,2100,1.183433096485,0.0012272925170068024
28,AIS,EAIS,15,SSP119,,2016,2050,0.524233953627857,0.00011587843137254901
29,AIS,EAIS,15,SSP119,,2051,2100,0.574829096485,0.00021602176870748297
30,AIS,EAIS,16,SSP119,,2016,2050,0.5150768107707143,6.448039215686275e-05
31,AIS,EAIS,16,SSP119,,2051,2100,0.566365096485,-6.0491156462585015e-05
32,AIS,EAIS,17,SSP119,,2016,2050,0.5196939536278571,0.00025654313725490197
33,AIS,EAIS,17,SSP119,,2051,2100,0.4878490964849999,0.0014104258503401365
34,AIS,EAIS,18,SSP119,,2016,2050,0.5362082393421428,3.626274509803921e-05
35,AIS,EAIS,18,SSP119,,2051,2100,0.38637109648499995,-0.00013308571428571428
36,AIS,EAIS,19,SSP119,,2016,2050,0.567853953627857,0.0001385254901960784
37,AIS,EAIS,19,SSP119,,2051,2100,0.615107096485,0.0008109482993197279
38,AIS,EAIS,20,SSP119,,2016,2050,0.42456538219928563,7.307450980392157e-05
39,AIS,EAIS,20,SSP119,,2051,2100,0.387361096485,0.0009289224489795917
40,AIS,EAIS,21,SSP119,,2016,2050,0.40146823934214276,0.00013954705882352942
41,AIS,EAIS,21,SSP119,,2051,2100,0.2458730964849999,0.0019493061224489794
42,AIS,EAIS,22,SSP119,,2016,2050,0.8173510964849999,7.56078431372549e-05
43,AIS,EAIS,22,SSP119,,2051,2100,1.1003830964849999,0.0008854285714285713
44,AIS,EAIS,23,SSP119,,2016,2050,0.5275025250564286,1.0943137254901967e-05
