,ice_source,region,sample,scenario,riskaverse,startyr,endyr,Tavg,dSdt
0,AIS,PEN,1,SSP119,,2016,2050,0.6315196679135713,3.973921568627451e-05
1,AIS,PEN,1,SSP119,,2051,2100,0.5676250964849998,0.0001439700680272109
2,AIS,PEN,2,SSP119,,2016,2050,0.46779109648499995,1.0119607843137244e-05
3,AIS,PEN,2,SSP119,,2051,2100,0.40248909648500003,0.00010724081632653062
4,AIS,PEN,3,SSP119,,2016,2050,0.437373953627857,1.6319607843137254e-05
5,AIS,PEN,3,SSP119,,2051,2100,0.4020010964849999,-2.0193197278911568e-05
6,AIS,PEN,4,SSP119,,2016,2050,0.6212996679135715,4.819803921568626e-05
7,AIS,PEN,4,SSP119,,2051,2100,1.3330530964849998,0.00031090612244897957
8,AIS,PEN,5,SSP119,,2016,2050,0.7717310964849999,4.018039215686275e-05
9,AIS,PEN,5,SSP119,,2051,2100,0.9288330964849998,0.00016873333333333333
10,AIS,PEN,6,SSP119,,2016,2050,0.44069966791357135,5.09019607843137e-06
11,AIS,PEN,6,SSP119,,2051,2100,0.4381810964849999,0.0001651292517006803
12,AIS,PEN,7,SSP119,,2016,2050,0.4692253821992856,-1.391372549019608e-05
13,AIS,PEN,7,SSP119,,2051,2100,0.4320370964849999,6.0545578231292516e-05
14,AIS,PEN,8,SSP119,,2016,2050,0.6048282393421427,-1.3056862745098037e-05
15,AIS,PEN,8,SSP119,,2051,2100,0.676109096485,0.00010210884353741497
16,AIS,PEN,9,SSP119,,2016,2050,0.5996253821992856,1.4352941176470587e-05
17,AIS,PEN,9,SSP119,,2051,2100,0.5755230964849999,0.00016054421768707484
18,AIS,PEN,10,SSP119,,2016,2050,0.5541996679135714,-7.874509803921567e-06
19,AIS,PEN,10,SSP119,,2051,2100,0.627319096485,0.00027543129251700685
20,AIS,PEN,11,SSP119,,2016,2050,0.44917681077071414,1.4001960784313725e-05
21,AIS,PEN,11,SSP119,,2051,2100,0.43346909648499987,0.00035027619047619044
22,AIS,PEN,12,SSP119,,2016,2050,0.46603395362785704,-1.2058823529411767e-05
23,AIS,PEN,12,SSP119,,2051,2100,0.44320509648499995,0.00029248435374149657
24,AIS,PEN,13,SSP119,,2016,2050,0.5380196679135714,-4.554901960784316e-06
25,AIS,PEN,13,SSP119,,2051,2100,0.4461010964849999,8.357278911564626e-05
26,AIS,PEN,14,SSP119,,2016,2050,0.7917539536278569,1.472156862745098e-05
27,AIS,PEN,14,SSP119,,2051,2100,1.183433096485,0.0001781238095238095
28,AIS,PEN,15,SSP119,,2016,2050,0.524233953627857,3.997450980392157e-05
29,AIS,PEN,15,SSP119,,2051,2100,0.574829096485,0.00018697414965986394
30,AIS,PEN,16,SSP119,,2016,2050,0.5150768107707143,1.6594117647058823e-05
31,AIS,PEN,16,SSP119,,2051,2100,0.566365096485,0.000224712925170068
32,AIS,PEN,17,SSP119,,2016,2050,0.5196939536278571,3.846666666666666e-05
33,AIS,PEN,17,SSP119,,2051,2100,0.4878490964849999,0.00047064897959183674
34,AIS,PEN,18,SSP119,,2016,2050,0.5362082393421428,-1.6039215686274506e-06
