,ice_source,region,sample,scenario,riskaverse,startyr,endyr,Tavg,dSdt
0,AIS,WAIS,1,SSP119,,2016,2050,0.6315196679135713,0.0001186669117647059
1,AIS,WAIS,1,SSP119,,2051,2100,0.5676250964849998,0.00025802721088435336
2,AIS,WAIS,2,SSP119,,2016,2050,0.46779109648499995,-6.711764705882352e-05
3,AIS,WAIS,2,SSP119,,2051,2100,0.40248909648500003,-0.00031853520408163245
4,AIS,WAIS,3,SSP119,,2016,2050,0.437373953627857,0.00033000514705882353
5,AIS,WAIS,3,SSP119,,2051,2100,0.4020010964849999,0.0008676687074829927
6,AIS,WAIS,4,SSP119,,2016,2050,0.6212996679135715,0.00020713137254901962
7,AIS,WAIS,4,SSP119,,2051,2100,1.3330530964849998,0.0006470823129251698
8,AIS,WAIS,5,SSP119,,2016,2050,0.7717310964849999,6.050588235294121e-05
9,AIS,WAIS,5,SSP119,,2051,2100,0.9288330964849998,-0.00030892159863945575
10,AIS,WAIS,6,SSP119,,2016,2050,0.44069966791357135,8.374117647058826e-05
11,AIS,WAIS,6,SSP119,,2051,2100,0.4381810964849999,-0.00036283826530612265
12,AIS,WAIS,7,SSP119,,2016,2050,0.4692253821992856,0.0001154389705882353
13,AIS,WAIS,7,SSP119,,2051,2100,0.4320370964849999,7.410527210884343e-05
14,AIS,WAIS,8,SSP119,,2016,2050,0.6048282393421427,6.772426470588238e-05
15,AIS,WAIS,8,SSP119,,2051,2100,0.676109096485,0.0004444102040816324
16,AIS,WAIS,9,SSP119,,2016,2050,0.5996253821992856,5.382254901960785e-05
17,AIS,WAIS,9,SSP119,,2051,2100,0.5755230964849999,0.0008777482993197275
18,AIS,WAIS,10,SSP119,,2016,2050,0.5541996679135714,0.0005078845588235296
19,AIS,WAIS,10,SSP119,,2051,2100,0.627319096485,0.00184635425170068
20,AIS,WAIS,11,SSP119,,2016,2050,0.44917681077071414,0.00018739681372549025
21,AIS,WAIS,11,SSP119,,2051,2100,0.43346909648499987,0.001650669217687074
22,AIS,WAIS,12,SSP119,,2016,2050,0.46603395362785704,0.00015683112745098042
