,ice_source,region,sample,scenario,riskaverse,startyr,endyr,Tavg,dSdt
0,AIS,WAIS,1,SSP119,,2016,2050,0.6315196679135713,0.00043638823529411764
1,AIS,WAIS,1,SSP119,,2051,2100,0.5676250964849998,0.0026361755102040814
2,AIS,WAIS,2,SSP119,,2016,2050,0.46779109648499995,0.0003772745098039216
3,AIS,WAIS,2,SSP119,,2051,2100,0.40248909648500003,0.002527673469387755
4,AIS,WAIS,3,SSP119,,2016,2050,0.437373953627857,0.0003613901960784314
5,AIS,WAIS,3,SSP119,,2051,2100,0.4020010964849999,0.0009207999999999999
6,AIS,WAIS,4,SSP119,,2016,2050,0.6212996679135715,0.00041691960784313734
7,AIS,WAIS,4,SSP119,,2051,2100,1.3330530964849998,0.002049878911564626
8,AIS,WAIS,5,SSP119,,2016,2050,0.7717310964849999,0.0005430823529411765
9,AIS,WAIS,5,SSP119,,2051,2100,0.9288330964849998,0.0027794408163265305
10,AIS,WAIS,6,SSP119,,2016,2050,0.44069966791357135,0.0005217666666666668
11,AIS,WAIS,6,SSP119,,2051,2100,0.4381810964849999,0.0011131442176870747
12,AIS,WAIS,7,SSP119,,2016,2050,0.4692253821992856,0.0005447392156862744
13,AIS,WAIS,7,SSP119,,2051,2100,0.4320370964849999,0.0027338965986394557
14,AIS,WAIS,8,SSP119,,2016,2050,0.6048282393421427,0.00047233137254901956
15,AIS,WAIS,8,SSP119,,2051,2100,0.676109096485,0.002534227210884354
16,AIS,WAIS,9,SSP119,,2016,2050,0.5996253821992856,0.00036786274509803925
17,AIS,WAIS,9,SSP119,,2051,2100,0.5755230964849999,0.00247169387755102
18,AIS,WAIS,10,SSP119,,2016,2050,0.5541996679135714,0.00039702745098039224
19,AIS,WAIS,10,SSP119,,2051,2100,0.627319096485,0.0035957877551020404
20,AIS,WAIS,11,SSP119,,2016,2050,0.44917681077071414,0.0004565274509803921
21,AIS,WAIS,11,SSP119,,2051,2100,0.43346909648499987,0.0036930843537414967
22,AIS,WAIS,12,SSP119,,2016,2050,0.46603395362785704,0.0005237156862745099
23,AIS,WAIS,12,SSP119,,2051,2100,0.44320509648499995,0.0024989115646258503
24,AIS,WAIS,13,SSP119,,2016,2050,0.5380196679135714,0.0003830352941176471
25,AIS,WAIS,13,SSP119,,2051,2100,0.4461010964849999,0.0016524204081632653
26,AIS,WAIS,14,SSP119,,2016,2050,0.7917539536278569,0.0007185392156862744
27,AIS,WAIS,14,SSP119,,2051,2100,1.183433096485,0.0036253496598639455
28,AIS,WAIS,15,SSP119,,2016,2050,0.524233953627857,0.0003922411764705883
29,AIS,WAIS,15,SSP119,,2051,2100,0.574829096485,0.0015823591836734692
30,AIS,WAIS,16,SSP119,,2016,2050,0.5150768107707143,0.00033496078431372543
31,AIS,WAIS,16,SSP119,,2051,2100,0.566365096485,0.002866093877551021
32,AIS,WAIS,17,SSP119,,2016,2050,0.5196939536278571,0.0006069254901960785
33,AIS,WAIS,17,SSP119,,2051,2100,0.4878490964849999,0.0026077714285714284
34,AIS,WAIS,18,SSP119,,2016,2050,0.5362082393421428,0.00042349215686274515
35,AIS,WAIS,18,SSP119,,2051,2100,0.38637109648499995,0.0022811714285714286
36,AIS,WAIS,19,SSP119,,2016,2050,0.567853953627857,0.00043437254901960786
37,AIS,WAIS,19,SSP119,,2051,2100,0.615107096485,0.0017250680272108841
38,AIS,WAIS,20,SSP119,,2016,2050,0.42456538219928563,0.0004568784313725491
39,AIS,WAIS,20,SSP119,,2051,2100,0.387361096485,0.005314220408163265
40,AIS,WAIS,21,SSP119,,2016,2050,0.40146823934214276,0.0005031196078431373
41,AIS,WAIS,21,SSP119,,2051,2100,0.2458730964849999,0.002969983673469388
42,AIS,WAIS,22,SSP119,,2016,2050,0.8173510964849999,0.0005847823529411764
43,AIS,WAIS,22,SSP119,,2051,2100,1.1003830964849999,0.003923468027210885
44,AIS,WAIS,23,SSP119,,2016,2050,0.5275025250564286,0.00029664901960784314
45,AIS,WAIS,23,SSP119,,2051,2100,0.4434490964849999,0.0026728530612244897
46,AIS,WAIS,24,SSP119,,2016,2050,0.6252225250564285,0.000521878431372549
47,AIS,WAIS,24,SSP119,,2051,2100,0.544951096485,0.0031743414965986396
48,AIS,WAIS,25,SSP119,,2016,2050,0.5773396679135713,0.0004158470588235294
49,AIS,WAIS,25,SSP119,,2051,2100,0.5923870964849999,0.001537595918367347
50,AIS,WAIS,26,SSP119,,2016,2050,0.6968053821992856,0.0004128627450980392
51,AIS,WAIS,26,SSP119,,2051,2100,0.8149210964849999,0.0022665469387755104
52,AIS,WAIS,27,SSP119,,2016,2050,0.6293196679135713,0.0002697176470588236
53,AIS,WAIS,27,SSP119,,2051,2100,0.6414050964849999,0.0006595891156462586
54,AIS,WAIS,28,SSP119,,2016,2050,0.3942225250564285,0.0003902901960784314
55,AIS,WAIS,28,SSP119,,2051,2100,0.34788709648499994,0.0017509238095238095
56,AIS,WAIS,29,SSP119,,2016,2050,0.5198139536278571,0.0004182411764705883
57,AIS,WAIS,29,SSP119,,2051,2100,0.502073096485,0.0034016340136054425
58,AIS,WAIS,30,SSP119,,2016,2050,0.47981109648499987,0.0010062333333333332
59,AIS,WAIS,30,SSP119,,2051,2100,0.4351610964849999,0.004879595918367347
60,AIS,WAIS,31,SSP119,,2016,2050,0.391453953627857,0.00030569607843137256
61,AIS,WAIS,31,SSP119,,2051,2100,0.3042930964849999,0.00204214693877551
62,AIS,WAIS,32,SSP119,,2016,2050,0.6412796679135714,0.0004488882352941177
63,AIS,WAIS,32,SSP119,,2051,2100,0.800635096485,0.002889544217687075
64,AIS,WAIS,33,SSP119,,2016,2050,0.531771096485,0.0004897607843137255
65,AIS,WAIS,33,SSP119,,2051,2100,0.5308470964849998,0.0017799088435374146
66,AIS,WAIS,34,SSP119,,2016,2050,0.6447968107707142,0.00048250588235294124
67,AIS,WAIS,34,SSP119,,2051,2100,0.7906810964849998,0.0026145510204081636
68,AIS,WAIS,35,SSP119,,2016,2050,0.4823168107707143,0.0004559196078431373
69,AIS,WAIS,35,SSP119,,2051,2100,0.42813909648499987,0.0008686829931972788
70,AIS,WAIS,36,SSP119,,2016,2050,0.4738768107707143,0.0005981607843137255
71,AIS,WAIS,36,SSP119,,2051,2100,0.44354109648499984,0.0036047156462585025
72,AIS,WAIS,37,SSP119,,2016,2050,0.4181768107707142,0.00045503137254901963
73,AIS,WAIS,37,SSP119,,2051,2100,0.29532309648499994,0.004259242176870749
74,AIS,WAIS,38,SSP119,,2016,2050,0.4763596679135712,0.0004039764705882353
