,ice_source,region,sample,scenario,riskaverse,startyr,endyr,Tavg,dSdt
0,AIS,,1,SSP119,,2016,2050,0.6315196679135713,0.0005360294117647059
1,AIS,,1,SSP119,,2050,2100,0.5706142337399018,0.005212867999999999
2,AIS,,2,SSP119,,2016,2050,0.46779109648499995,0.0006792666666666667
3,AIS,,2,SSP119,,2050,2100,0.4047456062889215,0.0055250586666666665
4,AIS,,3,SSP119,,2016,2050,0.437373953627857,0.0007584960784313725
5,AIS,,3,SSP119,,2050,2100,0.40351227295558806,0.0022100946666666664
6,AIS,,4,SSP119,,2016,2050,0.6212996679135715,0.0006167058823529411
7,AIS,,4,SSP119,,2050,2100,1.326049527857549,0.004573073333333333
8,AIS,,5,SSP119,,2016,2050,0.7717310964849999,0.0007344117647058822
9,AIS,,5,SSP119,,2050,2100,0.929998547465392,0.0072284160000000005
10,AIS,,6,SSP119,,2016,2050,0.44069966791357135,0.0007431607843137256
11,AIS,,6,SSP119,,2050,2100,0.43931031217127453,0.00317534
12,AIS,,7,SSP119,,2016,2050,0.4692253821992856,0.0009237921568627451
13,AIS,,7,SSP119,,2050,2100,0.4342005082497057,0.005836434666666667
14,AIS,,8,SSP119,,2016,2050,0.6048282393421427,0.0009866803921568627
15,AIS,,8,SSP119,,2050,2100,0.6772161945242158,0.0041625559999999995
16,AIS,,9,SSP119,,2016,2050,0.5996253821992856,0.0003517372549019608
17,AIS,,9,SSP119,,2050,2100,0.57895541021049,0.00559278
18,AIS,,10,SSP119,,2016,2050,0.5541996679135714,0.0007347882352941177
19,AIS,,10,SSP119,,2050,2100,0.6278926651124508,0.006203028
20,AIS,,11,SSP119,,2016,2050,0.44917681077071414,0.0006928254901960784
21,AIS,,11,SSP119,,2050,2100,0.4347789396222547,0.004309274666666667
22,AIS,,12,SSP119,,2016,2050,0.46603395362785704,0.0007700803921568628
23,AIS,,12,SSP119,,2050,2100,0.44451031217127435,0.005116829333333333
24,AIS,,13,SSP119,,2016,2050,0.5380196679135714,0.0004985568627450981
25,AIS,,13,SSP119,,2050,2100,0.449320116092843,0.0037959813333333335
26,AIS,,14,SSP119,,2016,2050,0.7917539536278572,0.001192421568627451
27,AIS,,14,SSP119,,2050,2100,1.181478939622255,0.007932675999999998
28,AIS,,15,SSP119,,2016,2050,0.524233953627857,0.00048805490196078425
29,AIS,,15,SSP119,,2050,2100,0.5756024690340196,0.003272678666666667
30,AIS,,16,SSP119,,2016,2050,0.5150768107707143,0.0005386098039215685
31,AIS,,16,SSP119,,2050,2100,0.5672299200144116,0.0038640693333333326
32,AIS,,17,SSP119,,2016,2050,0.5196939536278571,0.0008582058823529412
33,AIS,,17,SSP119,,2050,2100,0.48962992001441175,0.0036346440000000002
34,AIS,,18,SSP119,,2016,2050,0.5362082393421428,0.0005369450980392157
35,AIS,,18,SSP119,,2050,2100,0.3903436455046077,0.0034252893333333325
36,AIS,,19,SSP119,,2016,2050,0.567853953627857,0.0005672156862745098
37,AIS,,19,SSP119,,2050,2100,0.6163377631516667,0.003911364
38,AIS,,20,SSP119,,2016,2050,0.42456538219928563,0.0006196705882352941
39,AIS,,20,SSP119,,2050,2100,0.3888318807987255,0.007856630666666666
40,AIS,,21,SSP119,,2016,2050,0.40146823934214276,0.0006643254901960785
41,AIS,,21,SSP119,,2050,2100,0.24957697883794108,0.004669024
42,AIS,,22,SSP119,,2016,2050,0.8173510964849999,0.0008675470588235295
43,AIS,,22,SSP119,,2050,2100,1.100622076877157,0.008003128
44,AIS,,23,SSP119,,2016,2050,0.5275025250564286,0.0005477274509803923
45,AIS,,23,SSP119,,2050,2100,0.44675541021049014,0.0032653640000000006
46,AIS,,24,SSP119,,2016,2050,0.6252225250564285,0.0006388313725490197
47,AIS,,24,SSP119,,2050,2100,0.5486730572693136,0.005183144
48,AIS,,25,SSP119,,2016,2050,0.5773396679135713,0.0005989588235294118
49,AIS,,25,SSP119,,2050,2100,0.5941789396222549,0.0031057173333333345
50,AIS,,26,SSP119,,2016,2050,0.6968053821992856,0.0007208352941176472
51,AIS,,26,SSP119,,2050,2100,0.8162475670732351,0.004274369333333333
52,AIS,,27,SSP119,,2016,2050,0.6293196679135713,0.0004302274509803922
53,AIS,,27,SSP119,,2050,2100,0.6436887435438234,0.0018502866666666668
54,AIS,,28,SSP119,,2016,2050,0.3942225250564285,0.000480956862745098
55,AIS,,28,SSP119,,2050,2100,0.3493593317791176,0.004818402666666666
56,AIS,,29,SSP119,,2016,2050,0.5198139536278571,0.0005164098039215686
57,AIS,,29,SSP119,,2050,2100,0.5035867827595097,0.004759444
58,AIS,,30,SSP119,,2016,2050,0.47981109648499987,0.0018935999999999998
59,AIS,,30,SSP119,,2050,2100,0.43738874354382345,0.009084946666666666
60,AIS,,31,SSP119,,2016,2050,0.391453953627857,0.0004512078431372549
61,AIS,,31,SSP119,,2050,2100,0.30609266511245087,0.003685417333333333
62,AIS,,32,SSP119,,2016,2050,0.6412796679135714,0.0005814666666666667
63,AIS,,32,SSP119,,2050,2100,0.8006789396222549,0.004235846666666667
64,AIS,,33,SSP119,,2016,2050,0.531771096485,0.0006141509803921569
65,AIS,,33,SSP119,,2050,2100,0.5327436455046077,0.0027755786666666666
66,AIS,,34,SSP119,,2016,2050,0.6447968107707142,0.0008399627450980393
67,AIS,,34,SSP119,,2050,2100,0.7910318807987254,0.004831093333333333
68,AIS,,35,SSP119,,2016,2050,0.4823168107707143,0.0008178137254901959
69,AIS,,35,SSP119,,2050,2100,0.43041619452421565,0.003003305333333333
70,AIS,,36,SSP119,,2016,2050,0.4738768107707143,0.0008240999999999999
71,AIS,,36,SSP119,,2050,2100,0.44572992001441164,0.0070643546666666664
72,AIS,,37,SSP119,,2016,2050,0.4181768107707142,0.0006475411764705883
73,AIS,,37,SSP119,,2050,2100,0.2979338415830391,0.003896816
74,AIS,,38,SSP119,,2016,2050,0.4763596679135712,0.0006286098039215686
75,AIS,,38,SSP119,,2050,2100,0.4139554102104901,0.003144258666666666
76,AIS,,39,SSP119,,2016,2050,0.5340996679135713,0.0007370901960784314
77,AIS,,39,SSP119,,2050,2100,0.6188279592300979,0.004467346666666667
78,AIS,,40,SSP119,,2016,2050,0.5615339536278571,0.0006574039215686274
79,AIS,,40,SSP119,,2050,2100,0.5018475670732352,0.004417602666666666
80,AIS,,41,SSP119,,2016,2050,0.45065681077071423,0.000628586274509804
81,AIS,,41,SSP119,,2050,2100,0.3821730572693136,0.003305132
82,AIS,,42,SSP119,,2016,2050,0.4276653821992857,0.0007340039215686274
83,AIS,,42,SSP119,,2050,2100,0.42891031217127434,0.0041556480000000005
84,AIS,,43,SSP119,,2016,2050,0.4885025250564284,0.00040411372549019613
85,AIS,,43,SSP119,,2050,2100,0.42022011609284304,0.002759782666666667
86,AIS,,44,SSP119,,2016,2050,0.656571096485,0.0010687098039215686
87,AIS,,44,SSP119,,2050,2100,0.7102573709948039,0.006991008000000001
88,AIS,,45,SSP119,,2016,2050,0.5292939536278571,0.0007447803921568628
89,AIS,,45,SSP119,,2050,2100,0.43910442981833325,0.0037562599999999995
90,AIS,,46,SSP119,,2016,2050,0.3029082393421427,0.0005233509803921569
91,AIS,,46,SSP119,,2050,2100,0.2370867827595097,0.004916451999999999
92,AIS,,47,SSP119,,2016,2050,0.681893953627857,0.0005399450980392156
93,AIS,,47,SSP119,,2050,2100,0.7998514886418626,0.0029446293333333334
94,AIS,,48,SSP119,,2016,2050,0.7089996679135713,0.0006949529411764707
95,AIS,,48,SSP119,,2050,2100,0.8017122729555881,0.0031526840000000006
96,AIS,,49,SSP119,,2016,2050,0.4904396679135713,0.0011000803921568628
97,AIS,,49,SSP119,,2050,2100,0.5627965866810783,0.007129325333333333
98,AIS,,50,SSP119,,2016,2050,0.406753953627857,0.0006583019607843139
99,AIS,,50,SSP119,,2050,2100,0.40148482197519597,0.0037139906666666662
100,AIS,,51,SSP119,,2016,2050,0.6270882393421428,0.0008176745098039214
101,AIS,,51,SSP119,,2050,2100,0.6063534494261763,0.0054898759999999994
102,AIS,,52,SSP119,,2016,2050,0.7191110964849999,0.0004673529411764706
103,AIS,,52,SSP119,,2050,2100,0.7974358023673527,0.003176590666666667
104,AIS,,53,SSP119,,2016,2050,0.6688225250564285,0.0004603686274509804
105,AIS,,53,SSP119,,2050,2100,0.6523612925634313,0.0021264893333333337
106,AIS,,54,SSP119,,2016,2050,0.5491853821992857,0.0005048686274509804
107,AIS,,54,SSP119,,2050,2100,0.47437501805362736,0.0029704839999999994
108,AIS,,55,SSP119,,2016,2050,0.4781768107707142,0.0007095725490196079
109,AIS,,55,SSP119,,2050,2100,0.48223972393598036,0.004950290666666666
110,AIS,,56,SSP119,,2016,2050,0.5874310964849998,0.000781021568627451
111,AIS,,56,SSP119,,2050,2100,0.5856593317791174,0.006815446666666666
112,AIS,,57,SSP119,,2016,2050,0.7368682393421429,0.0005557176470588235
113,AIS,,57,SSP119,,2050,2100,0.8057063906026469,0.002568353333333333
114,AIS,,58,SSP119,,2016,2050,0.4849996679135714,0.0004379509803921569
115,AIS,,58,SSP119,,2050,2100,0.48233188079872535,0.006002337333333333
116,AIS,,59,SSP119,,2016,2050,0.570053953627857,0.000758129411764706
117,AIS,,59,SSP119,,2050,2100,0.6099593317791175,0.004833624
118,AIS,,60,SSP119,,2016,2050,0.4488082393421428,0.0007159960784313726
119,AIS,,60,SSP119,,2050,2100,0.3626554102104902,0.004416613333333333
120,AIS,,61,SSP119,,2016,2050,0.5045796679135713,0.0007423235294117647
121,AIS,,61,SSP119,,2050,2100,0.5907220768771568,0.005155798666666667
122,AIS,,62,SSP119,,2016,2050,0.4523253821992856,0.0004264941176470588
123,AIS,,62,SSP119,,2050,2100,0.28938286119088225,0.0035740213333333337
124,AIS,,63,SSP119,,2016,2050,0.5394282393421428,0.0011917960784313727
125,AIS,,63,SSP119,,2050,2100,0.5606456062889213,0.008556274666666667
126,AIS,,64,SSP119,,2016,2050,0.5592739536278569,0.0008974215686274509
127,AIS,,64,SSP119,,2050,2100,0.5461867827595097,0.004313002666666667
128,AIS,,65,SSP119,,2016,2050,0.5670253821992856,0.0008360274509803922
129,AIS,,65,SSP119,,2050,2100,0.42519070432813716,0.007201959999999999
130,AIS,,66,SSP119,,2016,2050,0.5086053821992855,0.0007450686274509805
131,AIS,,66,SSP119,,2050,2100,0.5355848219751959,0.0039007853333333335
132,AIS,,67,SSP119,,2016,2050,0.4551568107707142,0.001201343137254902
133,AIS,,67,SSP119,,2050,2100,0.40389854746539205,0.008157754666666666
134,AIS,,68,SSP119,,2016,2050,0.4717368107707142,0.0007176470588235295
135,AIS,,68,SSP119,,2050,2100,0.31950050824970583,0.004501268000000001
136,AIS,,69,SSP119,,2016,2050,0.47673109648499984,0.00038578627450980394
137,AIS,,69,SSP119,,2050,2100,0.4652161945242156,0.008157773333333333
138,AIS,,70,SSP119,,2016,2050,0.5676996679135713,0.0013387843137254904
139,AIS,,70,SSP119,,2050,2100,0.6093220768771568,0.008182351999999999
140,AIS,,71,SSP119,,2016,2050,0.5042025250564284,0.0010968
141,AIS,,71,SSP119,,2050,2100,0.4374573709948038,0.006935616
142,AIS,,72,SSP119,,2016,2050,0.6633053821992856,0.0004399627450980392
143,AIS,,72,SSP119,,2050,2100,0.7098358023673529,0.0049882346666666666
144,AIS,,73,SSP119,,2016,2050,0.551353953627857,0.0004804274509803922
145,AIS,,73,SSP119,,2050,2100,0.443249527857549,0.0023772746666666663
146,AIS,,74,SSP119,,2016,2050,0.5837968107707142,0.0006242803921568626
147,AIS,,74,SSP119,,2050,2100,0.5333181553085293,0.0036055479999999997
148,AIS,,75,SSP119,,2016,2050,0.5683453821992857,0.000495243137254902
149,AIS,,75,SSP119,,2050,2100,0.5095338415830392,0.005015577333333333
150,AIS,,76,SSP119,,2016,2050,0.6986368107707143,0.00044403137254901963
151,AIS,,76,SSP119,,2050,2100,0.748606390602647,0.002057250666666667
152,AIS,,77,SSP119,,2016,2050,0.5131253821992857,0.0006659313725490197
153,AIS,,77,SSP119,,2050,2100,0.4006573709948038,0.003475946666666666
154,AIS,,78,SSP119,,2016,2050,0.5015196679135713,0.0005251470588235294
155,AIS,,78,SSP119,,2050,2100,0.48959070432813717,0.005056041333333333
156,AIS,,79,SSP119,,2016,2050,0.5909282393421427,0.0006122235294117647
157,AIS,,79,SSP119,,2050,2100,0.7034240376614704,0.0035594293333333334
158,AIS,,80,SSP119,,2016,2050,0.5304253821992857,0.0008106647058823529
159,AIS,,80,SSP119,,2050,2100,0.6225044298183333,0.004139896
160,AIS,,81,SSP119,,2016,2050,0.6398825250564285,0.0007286156862745099
161,AIS,,81,SSP119,,2050,2100,0.6091436455046078,0.004148942666666666
162,AIS,,82,SSP119,,2016,2050,0.5672425250564284,0.0007816156862745097
163,AIS,,82,SSP119,,2050,2100,0.8452985474653921,0.005118101333333334
164,AIS,,83,SSP119,,2016,2050,0.3976225250564285,0.002193749019607843
165,AIS,,83,SSP119,,2050,2100,0.2981358023673528,0.014813326666666666
166,AIS,,84,SSP119,,2016,2050,0.7966996679135713,0.0007183509803921568
167,AIS,,84,SSP119,,2050,2100,0.8615181553085295,0.0035906586666666664
168,AIS,,85,SSP119,,2016,2050,0.3852996679135714,0.0006361333333333333
169,AIS,,85,SSP119,,2050,2100,0.30126325334774495,0.0011764773333333334
170,AIS,,86,SSP119,,2016,2050,0.6655539536278572,0.0017632254901960782
171,AIS,,86,SSP119,,2050,2100,0.8278495278575488,0.009829238666666667
172,AIS,,87,SSP119,,2016,2050,0.6030025250564284,0.000783335294117647
173,AIS,,87,SSP119,,2050,2100,0.7123358023673527,0.004937126666666666
174,AIS,,88,SSP119,,2016,2050,0.6136310964849998,0.0003678117647058824
175,AIS,,88,SSP119,,2050,2100,0.6086161945242156,0.005364430666666667
176,AIS,,89,SSP119,,2016,2050,0.3979425250564284,0.0007876627450980394
177,AIS,,89,SSP119,,2050,2100,0.320184821975196,0.004649909333333334
178,AIS,,90,SSP119,,2016,2050,0.5991682393421428,0.0006479176470588236
179,AIS,,90,SSP119,,2050,2100,0.6429495278575488,0.003540646666666667
180,AIS,,91,SSP119,,2016,2050,0.43299395362785703,0.0006356666666666668
181,AIS,,91,SSP119,,2050,2100,0.3964338415830391,0.003408588
182,AIS,,92,SSP119,,2016,2050,0.48708252505642846,0.0005161450980392156
183,AIS,,92,SSP119,,2050,2100,0.5091946258967647,0.0037978599999999997
184,AIS,,93,SSP119,,2016,2050,0.4926682393421428,0.0006484862745098039
185,AIS,,93,SSP119,,2050,2100,0.3235789396222548,0.007192838666666666
186,AIS,,94,SSP119,,2016,2050,0.49491395362785706,0.0004905
187,AIS,,94,SSP119,,2050,2100,0.5270220768771569,0.0035072079999999995
188,AIS,,95,SSP119,,2016,2050,0.491473953627857,0.0003703980392156863
189,AIS,,95,SSP119,,2050,2100,0.42308678275950967,0.002809798666666667
190,AIS,,96,SSP119,,2016,2050,0.4189910964849999,0.0006983529411764705
191,AIS,,96,SSP119,,2050,2100,0.2889005082497058,0.0041677146666666675
192,AIS,,97,SSP119,,2016,2050,0.4513025250564284,0.0006429215686274511
193,AIS,,97,SSP119,,2050,2100,0.3088907043281372,0.0031139680000000004
194,AIS,,98,SSP119,,2016,2050,0.537373953627857,0.0006212117647058824
195,AIS,,98,SSP119,,2050,2100,0.645963253347745,0.004121602666666666
196,AIS,,99,SSP119,,2016,2050,0.5155710964849998,0.0006533274509803922
197,AIS,,99,SSP119,,2050,2100,0.4020789396222548,0.0047859466666666664
198,AIS,,100,SSP119,,2016,2050,0.39963109648499995,0.0010548764705882352
199,AIS,,100,SSP119,,2050,2100,0.27771227295558815,0.0056811146666666664
200,AIS,,101,SSP119,,2016,2050,0.7540025250564285,0.0005809627450980391
201,AIS,,101,SSP119,,2050,2100,0.8124201160928433,0.0055220600000000005
202,AIS,,102,SSP119,,2016,2050,0.43012252505642845,0.0007137941176470589
203,AIS,,102,SSP119,,2050,2100,0.3146495278575489,0.004056532
204,AIS,,103,SSP119,,2016,2050,0.5416710964849999,0.0012678411764705884
205,AIS,,103,SSP119,,2050,2100,0.7019554102104902,0.006838486666666667
206,AIS,,104,SSP119,,2016,2050,0.48249966791357135,0.000601435294117647
