,ice_source,region,sample,scenario,risk_averse,startyr,endyr,dTdt,Tavg,dSdt
0,AIS,EAIS,1,SSP119,False,2016,2050,0.013350056022408905,0.6375791256624604,6.447843137254904e-05
1,AIS,EAIS,1,SSP119,False,2051,2100,-0.006096657863145226,0.5736845542338889,0.0005290552721088434
2,AIS,EAIS,2,SSP119,False,2016,2050,0.007608095238095218,0.4738505542338889,-0.0001649083333333334
3,AIS,EAIS,2,SSP119,False,2051,2100,-0.004227279711884733,0.4085485542338889,-0.0002006370748299319
4,AIS,EAIS,3,SSP119,False,2016,2050,0.006799523809523785,0.443433411376746,6.52360294117647e-05
5,AIS,EAIS,3,SSP119,False,2051,2100,-0.003023505402160849,0.40806055423388893,0.0003293112244897957
6,AIS,EAIS,4,SSP119,False,2016,2050,0.02210053221288494,0.6273591256624602,-7.964019607843137e-05
7,AIS,EAIS,4,SSP119,False,2051,2100,0.012733421368547354,1.3391125542338889,-9.805459183673467e-05
8,AIS,EAIS,5,SSP119,False,2016,2050,0.02176571428571414,0.7777905542338891,6.0422794117647066e-05
9,AIS,EAIS,5,SSP119,False,2051,2100,-0.002597978391356528,0.9348925542338888,0.0012625753401360542
10,AIS,EAIS,6,SSP119,False,2016,2050,0.0074538095238094884,0.44675912566246034,0.0001280169117647059
11,AIS,EAIS,6,SSP119,False,2051,2100,-0.0021124177671068313,0.4442405542338889,-0.00040414370748299296
12,AIS,EAIS,7,SSP119,False,2016,2050,0.008258291316526582,0.4752848399481746,2.9909803921568615e-05
13,AIS,EAIS,7,SSP119,False,2051,2100,-0.0033001920768307193,0.4380965542338889,0.000612055102040816
14,AIS,EAIS,8,SSP119,False,2016,2050,0.014405070028011124,0.6108876970910319,-4.149779411764705e-05
15,AIS,EAIS,8,SSP119,False,2051,2100,-0.002455140456182458,0.6821685542338889,-0.0001256981292517006
16,AIS,EAIS,9,SSP119,False,2016,2050,0.014447086834733818,0.6056848399481746,-3.194901960784314e-05
17,AIS,EAIS,9,SSP119,False,2051,2100,-0.0050748907563025,0.5815825542338889,0.00017151972789115647
18,AIS,EAIS,10,SSP119,False,2016,2050,0.01169394957983187,0.5602591256624603,9.069656862745098e-05
19,AIS,EAIS,10,SSP119,False,2051,2100,-0.001575875150060013,0.633378554233889,8.58644557823129e-05
20,AIS,EAIS,11,SSP119,False,2016,2050,0.007326526610644228,0.4552362685196032,0.00012085735294117649
21,AIS,EAIS,11,SSP119,False,2051,2100,-0.0027307130852340794,0.4395285542338889,0.0009116556122448976
22,AIS,EAIS,12,SSP119,False,2016,2050,0.0075954061624649545,0.4720934113767461,1.7927941176470604e-05
23,AIS,EAIS,12,SSP119,False,2051,2100,-0.002890060024009586,0.44926455423388895,-7.723605442176873e-05
24,AIS,EAIS,13,SSP119,False,2016,2050,0.010093249299719852,0.5440791256624603,0.00020477181372549025
25,AIS,EAIS,13,SSP119,False,2051,2100,-0.005884883553421337,0.4521605542338889,0.0010280726190476184
26,AIS,EAIS,14,SSP119,False,2016,2050,0.0242203361344536,0.797813411376746,6.315294117647058e-05
27,AIS,EAIS,14,SSP119,False,2051,2100,0.0030359231692676956,1.189492554233889,0.0005969119047619045
28,AIS,EAIS,15,SSP119,False,2016,2050,0.010783753501400503,0.530293411376746,5.7642647058823556e-05
29,AIS,EAIS,15,SSP119,False,2051,2100,-0.0021249219687875004,0.580888554233889,-2.2463775510204155e-05
30,AIS,EAIS,16,SSP119,False,2016,2050,0.010528123249299665,0.5211362685196033,4.187524509803922e-05
31,AIS,EAIS,16,SSP119,False,2051,2100,-0.00207147659063624,0.5724245542338889,-0.0002404030612244899
32,AIS,EAIS,17,SSP119,False,2016,2050,0.009650588235294076,0.525753411376746,0.00025124926470588237
33,AIS,EAIS,17,SSP119,False,2051,2100,-0.003955164465786291,0.4939085542338888,0.001032128401360544
34,AIS,EAIS,18,SSP119,False,2016,2050,0.00919154061624648,0.5422676970910318,2.3703431372548846e-06
35,AIS,EAIS,18,SSP119,False,2051,2100,-0.0069740696278511064,0.3924305542338889,-0.0003538023809523808
36,AIS,EAIS,19,SSP119,False,2016,2050,0.012839663865546141,0.5739134113767461,0.00011400735294117648
37,AIS,EAIS,19,SSP119,False,2051,2100,-0.0030318271308523237,0.6211665542338889,0.0007024714285714285
38,AIS,EAIS,20,SSP119,False,2016,2050,0.006304761904761882,0.43062483994817463,7.218014705882354e-05
39,AIS,EAIS,20,SSP119,False,2051,2100,-0.0030123265306122274,0.39342055423388883,0.0002673379251700679
40,AIS,EAIS,21,SSP119,False,2016,2050,0.004956386554621853,0.40752769709103176,0.00011519215686274514
41,AIS,EAIS,21,SSP119,False,2051,2100,-0.00528036974789914,0.2519325542338889,0.0009423608843537412
42,AIS,EAIS,22,SSP119,False,2016,2050,0.025417366946778524,0.8234105542338889,5.439852941176471e-05
43,AIS,EAIS,22,SSP119,False,2051,2100,-0.0005630828331332514,1.106442554233889,0.00011323503401360535
44,AIS,EAIS,23,SSP119,False,2016,2050,0.009997394957983156,0.5335619828053174,-7.772058823529358e-07
45,AIS,EAIS,23,SSP119,False,2051,2100,-0.005479054021608617,0.4495085542338888,0.0003421328231292516
46,AIS,EAIS,24,SSP119,False,2016,2050,0.013459747899159607,0.6312819828053174,-0.00013204215686274514
47,AIS,EAIS,24,SSP119,False,2051,2100,-0.006358645858343305,0.5510105542338889,0.00020491445578231304
48,AIS,EAIS,25,SSP119,False,2016,2050,0.012782997198879485,0.5833991256624604,0.0008021644607843138
49,AIS,EAIS,25,SSP119,False,2051,2100,-0.0032622040816326367,0.5984465542338889,0.003907656122448979
50,AIS,EAIS,26,SSP119,False,2016,2050,0.018718599439775788,0.7028648399481747,-2.3484803921568652e-05
51,AIS,EAIS,26,SSP119,False,2051,2100,-0.0023489315726290387,0.820980554233889,6.910493197278908e-05
52,AIS,EAIS,27,SSP119,False,2016,2050,0.01470963585434166,0.6353791256624604,0.0001867779411764706
53,AIS,EAIS,27,SSP119,False,2051,2100,-0.00462506122448977,0.6474645542338888,0.0012745159863945573
54,AIS,EAIS,28,SSP119,False,2016,2050,0.005057142857142844,0.4002819828053174,3.544068627450979e-05
