,ice_source,region,sample,scenario,risk_averse,startyr,endyr,dTdt,Tavg,dSdt
0,AIS,EAIS,1,SSP119,True,2016,2050,0.013350056022408905,0.6375791256624604,5.0533578431372596e-05
1,AIS,EAIS,1,SSP119,True,2051,2100,-0.006096657863145226,0.5736845542338889,0.0016932753401360538
2,AIS,EAIS,2,SSP119,True,2016,2050,0.007608095238095218,0.4738505542338889,0.0002700916666666667
3,AIS,EAIS,2,SSP119,True,2051,2100,-0.004227279711884733,0.4085485542338889,0.0019250852040816318
4,AIS,EAIS,3,SSP119,True,2016,2050,0.006799523809523785,0.443433411376746,0.0003420705882352941
5,AIS,EAIS,3,SSP119,True,2051,2100,-0.003023505402160849,0.40806055423388893,0.0008635981292517003
6,AIS,EAIS,4,SSP119,True,2016,2050,0.02210053221288494,0.6273591256624602,0.00013730857843137256
7,AIS,EAIS,4,SSP119,True,2051,2100,0.012733421368547354,1.3391125542338889,0.0012826908163265304
8,AIS,EAIS,5,SSP119,True,2016,2050,0.02176571428571414,0.7777905542338891,0.00013772843137254906
9,AIS,EAIS,5,SSP119,True,2051,2100,-0.002597978391356528,0.9348925542338888,0.0027170887755102032
10,AIS,EAIS,6,SSP119,True,2016,2050,0.0074538095238094884,0.44675912566246034,0.00016750024509803925
11,AIS,EAIS,6,SSP119,True,2051,2100,-0.0021124177671068313,0.4442405542338889,0.0014929467687074824
12,AIS,EAIS,7,SSP119,True,2016,2050,0.008258291316526582,0.4752848399481746,0.000337807843137255
13,AIS,EAIS,7,SSP119,True,2051,2100,-0.0033001920768307193,0.4380965542338889,0.0034534520408163257
14,AIS,EAIS,8,SSP119,True,2016,2050,0.014405070028011124,0.6108876970910319,0.0004604044117647059
15,AIS,EAIS,8,SSP119,True,2051,2100,-0.002455140456182458,0.6821685542338889,0.0015649988095238088
16,AIS,EAIS,9,SSP119,True,2016,2050,0.014447086834733818,0.6056848399481746,-8.857426470588233e-05
17,AIS,EAIS,9,SSP119,True,2051,2100,-0.0050748907563025,0.5815825542338889,0.0016227710884353737
18,AIS,EAIS,10,SSP119,True,2016,2050,0.01169394957983187,0.5602591256624603,0.00028850196078431374
19,AIS,EAIS,10,SSP119,True,2051,2100,-0.001575875150060013,0.633378554233889,0.0015248071428571423
20,AIS,EAIS,11,SSP119,True,2016,2050,0.007326526610644228,0.4552362685196032,0.00018477401960784317
21,AIS,EAIS,11,SSP119,True,2051,2100,-0.0027307130852340794,0.4395285542338889,0.0014095636054421764
22,AIS,EAIS,12,SSP119,True,2016,2050,0.0075954061624649545,0.4720934113767461,0.000224555637254902
23,AIS,EAIS,12,SSP119,True,2051,2100,-0.002890060024009586,0.44926455423388895,0.0025628229591836723
24,AIS,EAIS,13,SSP119,True,2016,2050,0.010093249299719852,0.5440791256624603,3.491348039215689e-05
25,AIS,EAIS,13,SSP119,True,2051,2100,-0.005884883553421337,0.4521605542338889,0.0019558532312925164
