,ice_source,region,sample,scenario,riskaverse,startyr,endyr,Tavg,dSdt
0,Glaciers,,1,SSP119,,2016,2050,0.6315196679135713,0.0010495509803921568
1,Glaciers,,1,SSP119,,2050,2100,0.5706142337399019,0.0005608213333333336
2,Glaciers,,2,SSP119,,2016,2050,0.46779109648499995,0.0007414372549019608
3,Glaciers,,2,SSP119,,2050,2100,0.4047456062889215,0.0011863679999999995
4,Glaciers,,3,SSP119,,2016,2050,0.437373953627857,0.0007897450980392158
5,Glaciers,,3,SSP119,,2050,2100,0.40351227295558806,0.0010671053333333336
6,Glaciers,,4,SSP119,,2016,2050,0.6212996679135714,0.001176762745098039
7,Glaciers,,4,SSP119,,2050,2100,1.326049527857549,0.0018574506666666662
8,Glaciers,,5,SSP119,,2016,2050,0.7717310964849999,0.0012684196078431372
9,Glaciers,,5,SSP119,,2050,2100,0.929998547465392,0.0008151733333333334
10,Glaciers,,6,SSP119,,2016,2050,0.44069966791357135,0.0007821156862745099
11,Glaciers,,6,SSP119,,2050,2100,0.43931031217127453,0.0008653773333333332
12,Glaciers,,7,SSP119,,2016,2050,0.4692253821992856,0.0008729627450980392
13,Glaciers,,7,SSP119,,2050,2100,0.43420050824970574,0.0008439599999999999
14,Glaciers,,8,SSP119,,2016,2050,0.6048282393421427,0.0010318078431372551
15,Glaciers,,8,SSP119,,2050,2100,0.6772161945242158,0.0010311039999999997
16,Glaciers,,9,SSP119,,2016,2050,0.5996253821992856,0.0009861196078431373
17,Glaciers,,9,SSP119,,2050,2100,0.57895541021049,0.0008602346666666666
18,Glaciers,,10,SSP119,,2016,2050,0.5541996679135713,0.001027456862745098
19,Glaciers,,10,SSP119,,2050,2100,0.627892665112451,0.0008729120000000001
20,Glaciers,,11,SSP119,,2016,2050,0.44917681077071414,0.0007240549019607843
21,Glaciers,,11,SSP119,,2050,2100,0.4347789396222547,0.0015383426666666672
22,Glaciers,,12,SSP119,,2016,2050,0.46603395362785704,0.000869143137254902
23,Glaciers,,12,SSP119,,2050,2100,0.44451031217127446,0.0008312386666666665
24,Glaciers,,13,SSP119,,2016,2050,0.5380196679135714,0.0007658607843137254
25,Glaciers,,13,SSP119,,2050,2100,0.44932011609284306,0.0011242253333333336
26,Glaciers,,14,SSP119,,2016,2050,0.7917539536278569,0.0014173921568627454
27,Glaciers,,14,SSP119,,2050,2100,1.181478939622255,0.0010872653333333338
28,Glaciers,,15,SSP119,,2016,2050,0.524233953627857,0.0008261960784313726
29,Glaciers,,15,SSP119,,2050,2100,0.5756024690340196,0.0009416426666666667
30,Glaciers,,16,SSP119,,2016,2050,0.5150768107707143,0.0009185980392156863
31,Glaciers,,16,SSP119,,2050,2100,0.5672299200144116,0.001009824
32,Glaciers,,17,SSP119,,2016,2050,0.519693953627857,0.0008889215686274508
33,Glaciers,,17,SSP119,,2050,2100,0.48962992001441175,0.0009301853333333335
34,Glaciers,,18,SSP119,,2016,2050,0.5362082393421428,0.0007916411764705883
35,Glaciers,,18,SSP119,,2050,2100,0.3903436455046077,0.0007615946666666667
36,Glaciers,,19,SSP119,,2016,2050,0.5678539536278571,0.0010036509803921568
37,Glaciers,,19,SSP119,,2050,2100,0.6163377631516667,0.0011393640000000001
38,Glaciers,,20,SSP119,,2016,2050,0.42456538219928563,0.0007021254901960784
39,Glaciers,,20,SSP119,,2050,2100,0.3888318807987255,0.000978284
40,Glaciers,,21,SSP119,,2016,2050,0.40146823934214276,0.0006503901960784315
41,Glaciers,,21,SSP119,,2050,2100,0.24957697883794108,0.0009454533333333333
42,Glaciers,,22,SSP119,,2016,2050,0.8173510964849999,0.0012614960784313725
43,Glaciers,,22,SSP119,,2050,2100,1.100622076877157,0.0009779639999999998
44,Glaciers,,23,SSP119,,2016,2050,0.5275025250564286,0.0008463431372549019
45,Glaciers,,23,SSP119,,2050,2100,0.44675541021049014,0.0007530186666666669
46,Glaciers,,24,SSP119,,2016,2050,0.6252225250564286,0.0008923901960784312
47,Glaciers,,24,SSP119,,2050,2100,0.5486730572693136,0.0009049279999999999
48,Glaciers,,25,SSP119,,2016,2050,0.5773396679135713,0.0009831901960784314
49,Glaciers,,25,SSP119,,2050,2100,0.5941789396222548,0.0010449586666666662
50,Glaciers,,26,SSP119,,2016,2050,0.6968053821992856,0.0010487098039215683
51,Glaciers,,26,SSP119,,2050,2100,0.8162475670732351,0.0009723266666666669
52,Glaciers,,27,SSP119,,2016,2050,0.6293196679135713,0.0010486196078431374
53,Glaciers,,27,SSP119,,2050,2100,0.6436887435438234,0.0010215026666666662
54,Glaciers,,28,SSP119,,2016,2050,0.3942225250564285,0.0005593901960784315
55,Glaciers,,28,SSP119,,2050,2100,0.34935933177911754,0.001328476
56,Glaciers,,29,SSP119,,2016,2050,0.5198139536278571,0.0008138490196078431
57,Glaciers,,29,SSP119,,2050,2100,0.5035867827595097,0.0009940733333333332
58,Glaciers,,30,SSP119,,2016,2050,0.47981109648499987,0.0009141411764705883
59,Glaciers,,30,SSP119,,2050,2100,0.43738874354382345,0.0009635813333333334
60,Glaciers,,31,SSP119,,2016,2050,0.39145395362785707,0.0006343333333333333
61,Glaciers,,31,SSP119,,2050,2100,0.30609266511245087,0.001843333333333333
62,Glaciers,,32,SSP119,,2016,2050,0.6412796679135714,0.0010237333333333334
63,Glaciers,,32,SSP119,,2050,2100,0.8006789396222547,0.0010546413333333332
64,Glaciers,,33,SSP119,,2016,2050,0.531771096485,0.0008074313725490196
65,Glaciers,,33,SSP119,,2050,2100,0.5327436455046076,0.0010316359999999996
66,Glaciers,,34,SSP119,,2016,2050,0.6447968107707142,0.0009489235294117646
67,Glaciers,,34,SSP119,,2050,2100,0.7910318807987254,0.0009203333333333335
68,Glaciers,,35,SSP119,,2016,2050,0.4823168107707142,0.000653056862745098
69,Glaciers,,35,SSP119,,2050,2100,0.43041619452421565,0.0009897253333333335
70,Glaciers,,36,SSP119,,2016,2050,0.4738768107707142,0.000814407843137255
71,Glaciers,,36,SSP119,,2050,2100,0.44572992001441164,0.0009908226666666667
72,Glaciers,,37,SSP119,,2016,2050,0.41817681077071417,0.0007132882352941177
73,Glaciers,,37,SSP119,,2050,2100,0.2979338415830391,0.0012157240000000003
74,Glaciers,,38,SSP119,,2016,2050,0.4763596679135712,0.0008171333333333333
75,Glaciers,,38,SSP119,,2050,2100,0.4139554102104901,0.0007680293333333336
76,Glaciers,,39,SSP119,,2016,2050,0.5340996679135713,0.0009210078431372549
77,Glaciers,,39,SSP119,,2050,2100,0.6188279592300978,0.0007265266666666669
78,Glaciers,,40,SSP119,,2016,2050,0.5615339536278571,0.0008840509803921569
79,Glaciers,,40,SSP119,,2050,2100,0.5018475670732352,0.001060344
80,Glaciers,,41,SSP119,,2016,2050,0.45065681077071423,0.0006897196078431372
81,Glaciers,,41,SSP119,,2050,2100,0.3821730572693136,0.0009346653333333333
82,Glaciers,,42,SSP119,,2016,2050,0.4276653821992857,0.0007188960784313724
83,Glaciers,,42,SSP119,,2050,2100,0.42891031217127445,0.0014325706666666667
84,Glaciers,,43,SSP119,,2016,2050,0.4885025250564285,0.0008274784313725492
85,Glaciers,,43,SSP119,,2050,2100,0.42022011609284304,0.0014147346666666665
86,Glaciers,,44,SSP119,,2016,2050,0.656571096485,0.0011027980392156864
87,Glaciers,,44,SSP119,,2050,2100,0.7102573709948039,0.0008491039999999999
88,Glaciers,,45,SSP119,,2016,2050,0.5292939536278571,0.0008100254901960784
89,Glaciers,,45,SSP119,,2050,2100,0.43910442981833325,0.0010077746666666667
90,Glaciers,,46,SSP119,,2016,2050,0.3029082393421427,0.0005992745098039214
91,Glaciers,,46,SSP119,,2050,2100,0.2370867827595097,0.000680878666666667
92,Glaciers,,47,SSP119,,2016,2050,0.681893953627857,0.0010536862745098039
93,Glaciers,,47,SSP119,,2050,2100,0.7998514886418626,0.0011101133333333332
94,Glaciers,,48,SSP119,,2016,2050,0.7089996679135713,0.0012154333333333333
95,Glaciers,,48,SSP119,,2050,2100,0.8017122729555881,0.0007835680000000004
96,Glaciers,,49,SSP119,,2016,2050,0.4904396679135713,0.0008061372549019608
97,Glaciers,,49,SSP119,,2050,2100,0.5627965866810783,0.0009555893333333332
98,Glaciers,,50,SSP119,,2016,2050,0.406753953627857,0.0006614941176470588
99,Glaciers,,50,SSP119,,2050,2100,0.40148482197519597,0.0009142333333333335
100,Glaciers,,51,SSP119,,2016,2050,0.6270882393421428,0.0009490862745098041
101,Glaciers,,51,SSP119,,2050,2100,0.6063534494261762,0.0009702839999999996
102,Glaciers,,52,SSP119,,2016,2050,0.7191110964849999,0.0011239529411764704
103,Glaciers,,52,SSP119,,2050,2100,0.7974358023673528,0.001118156
104,Glaciers,,53,SSP119,,2016,2050,0.6688225250564285,0.001040035294117647
105,Glaciers,,53,SSP119,,2050,2100,0.6523612925634313,0.0009983079999999996
106,Glaciers,,54,SSP119,,2016,2050,0.5491853821992857,0.0009551784313725489
107,Glaciers,,54,SSP119,,2050,2100,0.47437501805362736,0.0007219706666666666
108,Glaciers,,55,SSP119,,2016,2050,0.4781768107707142,0.0010381745098039215
109,Glaciers,,55,SSP119,,2050,2100,0.48223972393598036,0.0005938653333333335
110,Glaciers,,56,SSP119,,2016,2050,0.5874310964849998,0.0009990117647058823
111,Glaciers,,56,SSP119,,2050,2100,0.5856593317791174,0.0010370706666666665
112,Glaciers,,57,SSP119,,2016,2050,0.7368682393421429,0.0011992333333333334
113,Glaciers,,57,SSP119,,2050,2100,0.805706390602647,0.0007071853333333331
114,Glaciers,,58,SSP119,,2016,2050,0.4849996679135713,0.0007828392156862745
115,Glaciers,,58,SSP119,,2050,2100,0.48233188079872535,0.0009650280000000003
116,Glaciers,,59,SSP119,,2016,2050,0.570053953627857,0.0009461803921568627
117,Glaciers,,59,SSP119,,2050,2100,0.6099593317791175,0.0012831973333333328
118,Glaciers,,60,SSP119,,2016,2050,0.44880823934214276,0.0008581352941176472
119,Glaciers,,60,SSP119,,2050,2100,0.3626554102104902,0.0006209493333333332
120,Glaciers,,61,SSP119,,2016,2050,0.5045796679135713,0.0008332019607843138
121,Glaciers,,61,SSP119,,2050,2100,0.5907220768771568,0.0009522106666666669
122,Glaciers,,62,SSP119,,2016,2050,0.4523253821992856,0.0006642176470588234
123,Glaciers,,62,SSP119,,2050,2100,0.2893828611908822,0.0008690426666666667
124,Glaciers,,63,SSP119,,2016,2050,0.5394282393421428,0.0008061098039215686
125,Glaciers,,63,SSP119,,2050,2100,0.5606456062889213,0.0009325240000000001
126,Glaciers,,64,SSP119,,2016,2050,0.5592739536278569,0.0008390411764705883
127,Glaciers,,64,SSP119,,2050,2100,0.5461867827595097,0.0009948000000000003
