,ice_source,region,sample,scenario,riskaverse,startyr,endyr,Tavg,dSdt
0,GrIS,,1,SSP119,,2016,2050,0.6315196679135713,0.0004414078431372549
1,GrIS,,1,SSP119,,2050,2100,0.5706142337399018,0.0005820613333333334
2,GrIS,,2,SSP119,,2016,2050,0.46779109648499995,0.0005799019607843136
3,GrIS,,2,SSP119,,2050,2100,0.4047456062889215,0.000739804
4,GrIS,,3,SSP119,,2016,2050,0.437373953627857,0.00031081764705882353
5,GrIS,,3,SSP119,,2050,2100,0.40351227295558806,-1.9985333333333367e-05
6,GrIS,,4,SSP119,,2016,2050,0.6212996679135715,0.00040820980392156856
7,GrIS,,4,SSP119,,2050,2100,1.326049527857549,0.0007463306666666667
8,GrIS,,5,SSP119,,2016,2050,0.7717310964849999,0.00023343529411764708
9,GrIS,,5,SSP119,,2050,2100,0.929998547465392,4.0139999999999965e-05
10,GrIS,,6,SSP119,,2016,2050,0.44069966791357135,0.00019941372549019603
11,GrIS,,6,SSP119,,2050,2100,0.43931031217127453,0.0005887306666666667
12,GrIS,,7,SSP119,,2016,2050,0.4692253821992856,0.0007856862745098038
13,GrIS,,7,SSP119,,2050,2100,0.4342005082497057,0.0017092533333333331
14,GrIS,,8,SSP119,,2016,2050,0.6048282393421427,0.00038119019607843143
15,GrIS,,8,SSP119,,2050,2100,0.6772161945242158,0.0004933666666666666
16,GrIS,,9,SSP119,,2016,2050,0.5996253821992856,0.0004753058823529411
17,GrIS,,9,SSP119,,2050,2100,0.57895541021049,0.0017255226666666667
18,GrIS,,10,SSP119,,2016,2050,0.5541996679135714,0.00039722549019607846
19,GrIS,,10,SSP119,,2050,2100,0.6278926651124508,0.000248372
20,GrIS,,11,SSP119,,2016,2050,0.44917681077071414,0.00025198431372549016
21,GrIS,,11,SSP119,,2050,2100,0.4347789396222547,0.0005762106666666666
22,GrIS,,12,SSP119,,2016,2050,0.46603395362785704,0.00028186666666666667
23,GrIS,,12,SSP119,,2050,2100,0.44451031217127435,8.395466666666663e-05
24,GrIS,,13,SSP119,,2016,2050,0.5380196679135714,0.00036458627450980396
25,GrIS,,13,SSP119,,2050,2100,0.449320116092843,0.001365741333333333
26,GrIS,,14,SSP119,,2016,2050,0.7917539536278569,0.0003734098039215686
