,ice_source,region,sample,scenario,risk_averse,startyr,endyr,dTdt,Tavg,dSdt
0,GrIS,,1,SSP119,False,2016,2050,0.013350056022408905,0.6375791256624604,0.00043190098039215687
1,GrIS,,1,SSP119,False,2051,2100,-0.006096657863145226,0.5736845542338889,0.00038116411564625844
2,GrIS,,2,SSP119,False,2016,2050,0.007608095238095218,0.4738505542338889,0.0005548122549019608
3,GrIS,,2,SSP119,False,2051,2100,-0.004227279711884733,0.4085485542338889,0.0005313741496598633
4,GrIS,,3,SSP119,False,2016,2050,0.006799523809523785,0.443433411376746,0.0002632436274509804
5,GrIS,,3,SSP119,False,2051,2100,-0.003023505402160849,0.40806055423388893,-0.0001310731292517008
6,GrIS,,4,SSP119,False,2016,2050,0.02210053221288494,0.6273591256624602,0.0004194357843137256
7,GrIS,,4,SSP119,False,2051,2100,0.012733421368547354,1.3391125542338889,0.0006105144557823124
8,GrIS,,5,SSP119,False,2016,2050,0.02176571428571414,0.7777905542338891,0.00022544705882352942
9,GrIS,,5,SSP119,False,2051,2100,-0.002597978391356528,0.9348925542338888,-0.00025199438775510213
10,GrIS,,6,SSP119,False,2016,2050,0.0074538095238094884,0.44675912566246034,0.0001818634803921569
11,GrIS,,6,SSP119,False,2051,2100,-0.0021124177671068313,0.4442405542338889,0.00011384591836734706
12,GrIS,,7,SSP119,False,2016,2050,0.008258291316526582,0.4752848399481746,0.0007750867647058825
13,GrIS,,7,SSP119,False,2051,2100,-0.0033001920768307193,0.4380965542338889,0.0011475996598639448
14,GrIS,,8,SSP119,False,2016,2050,0.014405070028011124,0.6108876970910319,0.00037458823529411755
15,GrIS,,8,SSP119,False,2051,2100,-0.002455140456182458,0.6821685542338889,-5.239965986394469e-06
16,GrIS,,9,SSP119,False,2016,2050,0.014447086834733818,0.6056848399481746,0.00048526936274509815
17,GrIS,,9,SSP119,False,2051,2100,-0.0050748907563025,0.5815825542338889,0.0005077683673469386
18,GrIS,,10,SSP119,False,2016,2050,0.01169394957983187,0.5602591256624603,0.00041104313725490204
19,GrIS,,10,SSP119,False,2051,2100,-0.001575875150060013,0.633378554233889,7.398656462584999e-05
20,GrIS,,11,SSP119,False,2016,2050,0.007326526610644228,0.4552362685196032,0.00021920073529411768
21,GrIS,,11,SSP119,False,2051,2100,-0.0027307130852340794,0.4395285542338889,-8.748163265306133e-05
22,GrIS,,12,SSP119,False,2016,2050,0.0075954061624649545,0.4720934113767461,0.00027606887254901966
23,GrIS,,12,SSP119,False,2051,2100,-0.002890060024009586,0.44926455423388895,-0.00030103299319727894
24,GrIS,,13,SSP119,False,2016,2050,0.010093249299719852,0.5440791256624603,0.0003720186274509805
25,GrIS,,13,SSP119,False,2051,2100,-0.005884883553421337,0.4521605542338889,0.00044482993197278887
26,GrIS,,14,SSP119,False,2016,2050,0.0242203361344536,0.797813411376746,0.0003496164215686275
