,ice_source,region,sample,scenario,risk_averse,startyr,endyr,Tavg,dSdt
0,AIS,PEN,1,SSP119,False,2016,2050,0.6315196679135713,3.0435294117647052e-05
1,AIS,PEN,1,SSP119,False,2051,2100,0.5676250964849998,9.78865646258503e-05
2,AIS,PEN,2,SSP119,False,2016,2050,0.46779109648499995,-2.8942892156862738e-05
3,AIS,PEN,2,SSP119,False,2051,2100,0.40248909648500003,-3.3604591836734675e-05
4,AIS,PEN,3,SSP119,False,2016,2050,0.437373953627857,-5.02794117647059e-06
5,AIS,PEN,3,SSP119,False,2051,2100,0.4020010964849999,-7.011836734693878e-05
6,AIS,PEN,4,SSP119,False,2016,2050,0.6212996679135715,4.5698039215686276e-05
7,AIS,PEN,4,SSP119,False,2051,2100,1.3330530964849998,8.848333333333333e-05
8,AIS,PEN,5,SSP119,False,2016,2050,0.7717310964849999,3.394975490196079e-05
9,AIS,PEN,5,SSP119,False,2051,2100,0.9288330964849998,0.00017919489795918355
10,AIS,PEN,6,SSP119,False,2016,2050,0.44069966791357135,4.244117647058823e-06
11,AIS,PEN,6,SSP119,False,2051,2100,0.4381810964849999,0.00013473673469387745
12,AIS,PEN,7,SSP119,False,2016,2050,0.4692253821992856,-1.6632598039215686e-05
13,AIS,PEN,7,SSP119,False,2051,2100,0.4320370964849999,-0.00011762023809523804
14,AIS,PEN,8,SSP119,False,2016,2050,0.6048282393421427,-2.8366666666666674e-05
15,AIS,PEN,8,SSP119,False,2051,2100,0.676109096485,7.984931972789112e-05
16,AIS,PEN,9,SSP119,False,2016,2050,0.5996253821992856,1.9828431372549248e-07
17,AIS,PEN,9,SSP119,False,2051,2100,0.5755230964849999,1.8439115646258507e-05
18,AIS,PEN,10,SSP119,False,2016,2050,0.5541996679135714,-2.7733578431372563e-05
19,AIS,PEN,10,SSP119,False,2051,2100,0.627319096485,0.00011358129251700679
20,AIS,PEN,11,SSP119,False,2016,2050,0.44917681077071414,1.2884558823529415e-05
21,AIS,PEN,11,SSP119,False,2051,2100,0.43346909648499987,0.00026700085034013596
22,AIS,PEN,12,SSP119,False,2016,2050,0.46603395362785704,-2.2387990196078436e-05
23,AIS,PEN,12,SSP119,False,2051,2100,0.44320509648499995,9.672942176870744e-05
24,AIS,PEN,13,SSP119,False,2016,2050,0.5380196679135714,-5.847794117647064e-06
25,AIS,PEN,13,SSP119,False,2051,2100,0.4461010964849999,-7.240476190476188e-05
26,AIS,PEN,14,SSP119,False,2016,2050,0.7917539536278569,1.9223529411764704e-05
27,AIS,PEN,14,SSP119,False,2051,2100,1.183433096485,0.00017254676870748293
28,AIS,PEN,15,SSP119,False,2016,2050,0.524233953627857,9.219852941176477e-06
29,AIS,PEN,15,SSP119,False,2051,2100,0.574829096485,0.0001657761904761904
30,AIS,PEN,16,SSP119,False,2016,2050,0.5150768107707143,3.824754901960785e-06
31,AIS,PEN,16,SSP119,False,2051,2100,0.566365096485,0.0001729195578231291
32,AIS,PEN,17,SSP119,False,2016,2050,0.5196939536278571,4.5880882352941174e-05
33,AIS,PEN,17,SSP119,False,2051,2100,0.4878490964849999,0.0002714249999999999
34,AIS,PEN,18,SSP119,False,2016,2050,0.5362082393421428,-1.7034313725490193e-05
35,AIS,PEN,18,SSP119,False,2051,2100,0.38637109648499995,2.9514625850340125e-05
36,AIS,PEN,19,SSP119,False,2016,2050,0.567853953627857,3.275416666666667e-05
37,AIS,PEN,19,SSP119,False,2051,2100,0.615107096485,0.00012843758503401352
38,AIS,PEN,20,SSP119,False,2016,2050,0.42456538219928563,2.946372549019607e-05
39,AIS,PEN,20,SSP119,False,2051,2100,0.387361096485,-0.00010147346938775507
40,AIS,PEN,21,SSP119,False,2016,2050,0.40146823934214276,2.8501225490196082e-05
41,AIS,PEN,21,SSP119,False,2051,2100,0.2458730964849999,0.0002362147959183673
42,AIS,PEN,22,SSP119,False,2016,2050,0.8173510964849999,1.6390441176470587e-05
43,AIS,PEN,22,SSP119,False,2051,2100,1.1003830964849999,8.999982993197272e-05
44,AIS,PEN,23,SSP119,False,2016,2050,0.5275025250564286,1.1614215686274504e-05
45,AIS,PEN,23,SSP119,False,2051,2100,0.4434490964849999,-1.1739455782312908e-05
46,AIS,PEN,24,SSP119,False,2016,2050,0.6252225250564285,3.3208578431372554e-05
47,AIS,PEN,24,SSP119,False,2051,2100,0.544951096485,0.0001931132653061224
48,AIS,PEN,25,SSP119,False,2016,2050,0.5773396679135713,4.571495098039214e-05
49,AIS,PEN,25,SSP119,False,2051,2100,0.5923870964849999,0.0002635110544217686
50,AIS,PEN,26,SSP119,False,2016,2050,0.6968053821992856,-3.3131372549019613e-05
51,AIS,PEN,26,SSP119,False,2051,2100,0.8149210964849999,5.135969387755102e-05
52,AIS,PEN,27,SSP119,False,2016,2050,0.6293196679135713,-1.74139705882353e-05
53,AIS,PEN,27,SSP119,False,2051,2100,0.6414050964849999,-1.888639455782311e-05
54,AIS,PEN,28,SSP119,False,2016,2050,0.3942225250564285,-1.2793872549019607e-05
55,AIS,PEN,28,SSP119,False,2051,2100,0.34788709648499994,-3.356819727891155e-05
56,AIS,PEN,29,SSP119,False,2016,2050,0.5198139536278571,-1.64531862745098e-05
57,AIS,PEN,29,SSP119,False,2051,2100,0.502073096485,-1.7789115646258488e-05
58,AIS,PEN,30,SSP119,False,2016,2050,0.47981109648499987,1.2417156862745095e-05
59,AIS,PEN,30,SSP119,False,2051,2100,0.4351610964849999,0.00025858843537414957
60,AIS,PEN,31,SSP119,False,2016,2050,0.391453953627857,3.099534313725491e-05
61,AIS,PEN,31,SSP119,False,2051,2100,0.3042930964849999,0.0003243161564625849
62,AIS,PEN,32,SSP119,False,2016,2050,0.6412796679135714,2.8762254901960782e-05
63,AIS,PEN,32,SSP119,False,2051,2100,0.800635096485,8.115986394557818e-05
64,AIS,PEN,33,SSP119,False,2016,2050,0.531771096485,-3.0027205882352933e-05
65,AIS,PEN,33,SSP119,False,2051,2100,0.5308470964849998,-0.00026950119047619044
66,AIS,PEN,34,SSP119,False,2016,2050,0.6447968107707142,-1.3666911764705895e-05
67,AIS,PEN,34,SSP119,False,2051,2100,0.7906810964849998,0.00012378741496598644
68,AIS,PEN,35,SSP119,False,2016,2050,0.4823168107707143,5.894607843137255e-06
69,AIS,PEN,35,SSP119,False,2051,2100,0.42813909648499987,2.6618537414966e-05
70,AIS,PEN,36,SSP119,False,2016,2050,0.4738768107707143,-1.1052941176470596e-05
71,AIS,PEN,36,SSP119,False,2051,2100,0.44354109648499984,-9.958231292517003e-05
72,AIS,PEN,37,SSP119,False,2016,2050,0.4181768107707142,1.543014705882354e-05
73,AIS,PEN,37,SSP119,False,2051,2100,0.29532309648499994,0.0003341782312925169
74,AIS,PEN,38,SSP119,False,2016,2050,0.4763596679135712,1.3014705882352915e-06
75,AIS,PEN,38,SSP119,False,2051,2100,0.4119090964849999,6.48506802721088e-05
76,AIS,PEN,39,SSP119,False,2016,2050,0.5340996679135713,7.506862745098021e-06
77,AIS,PEN,39,SSP119,False,2051,2100,0.617879096485,-6.628741496598639e-05
78,AIS,PEN,40,SSP119,False,2016,2050,0.5615339536278571,4.555882352941177e-05
79,AIS,PEN,40,SSP119,False,2051,2100,0.4992390964849999,0.0002156712585034012
80,AIS,PEN,41,SSP119,False,2016,2050,0.45065681077071423,6.67735294117647e-05
81,AIS,PEN,41,SSP119,False,2051,2100,0.380295096485,0.00016785527210884344
82,AIS,PEN,42,SSP119,False,2016,2050,0.4276653821992857,7.64730392156862e-06
83,AIS,PEN,42,SSP119,False,2051,2100,0.4280250964849999,-3.518605442176867e-05
84,AIS,PEN,43,SSP119,False,2016,2050,0.4885025250564284,5.363799019607843e-05
85,AIS,PEN,43,SSP119,False,2051,2100,0.4182190964849999,0.00019510782312925158
86,AIS,PEN,44,SSP119,False,2016,2050,0.656571096485,2.024117647058823e-05
87,AIS,PEN,44,SSP119,False,2051,2100,0.708029096485,0.00020643673469387738
88,AIS,PEN,45,SSP119,False,2016,2050,0.5292939536278571,-2.503750000000001e-05
89,AIS,PEN,45,SSP119,False,2051,2100,0.436357096485,0.0001606904761904761
90,AIS,PEN,46,SSP119,False,2016,2050,0.3029082393421427,-3.102303921568628e-05
91,AIS,PEN,46,SSP119,False,2051,2100,0.2359150964849999,7.07969387755102e-05
92,AIS,PEN,47,SSP119,False,2016,2050,0.681893953627857,1.0602450980392156e-05
93,AIS,PEN,47,SSP119,False,2051,2100,0.7987950964849999,0.00023224693877551015
94,AIS,PEN,48,SSP119,False,2016,2050,0.7089996679135713,2.2810539215686265e-05
95,AIS,PEN,48,SSP119,False,2051,2100,0.8000970964849998,8.661683673469386e-05
96,AIS,PEN,49,SSP119,False,2016,2050,0.4904396679135713,4.5280637254901964e-05
97,AIS,PEN,49,SSP119,False,2051,2100,0.5623270964849999,0.00019686445578231287
98,AIS,PEN,50,SSP119,False,2016,2050,0.406753953627857,3.635833333333333e-05
99,AIS,PEN,50,SSP119,False,2051,2100,0.40010909648499987,0.0001176282312925169
100,AIS,PEN,51,SSP119,False,2016,2050,0.6270882393421428,1.1857843137254912e-05
101,AIS,PEN,51,SSP119,False,2051,2100,0.6039050964849998,0.00020070425170068014
102,AIS,PEN,52,SSP119,False,2016,2050,0.7191110964849999,2.7527205882352944e-05
103,AIS,PEN,52,SSP119,False,2051,2100,0.795415096485,-1.5250850340136036e-05
104,AIS,PEN,53,SSP119,False,2016,2050,0.6688225250564285,-3.188602941176471e-05
105,AIS,PEN,53,SSP119,False,2051,2100,0.6492850964849999,-2.9264115646258455e-05
106,AIS,PEN,54,SSP119,False,2016,2050,0.5491853821992857,5.126176470588236e-05
107,AIS,PEN,54,SSP119,False,2051,2100,0.4715650964849999,0.0002435222789115646
108,AIS,PEN,55,SSP119,False,2016,2050,0.4781768107707142,2.4693627450980346e-06
109,AIS,PEN,55,SSP119,False,2051,2100,0.48098509648499993,-4.7560034013605435e-05
110,AIS,PEN,56,SSP119,False,2016,2050,0.5874310964849998,-2.3276960784313754e-06
111,AIS,PEN,56,SSP119,False,2051,2100,0.5829530964849999,0.00011495952380952377
112,AIS,PEN,57,SSP119,False,2016,2050,0.7368682393421429,-3.5566176470588235e-05
113,AIS,PEN,57,SSP119,False,2051,2100,0.8036670964849999,-7.659489795918365e-05
114,AIS,PEN,58,SSP119,False,2016,2050,0.4849996679135714,-1.8504901960783992e-07
115,AIS,PEN,58,SSP119,False,2051,2100,0.48080509648499986,-7.225884353741494e-05
116,AIS,PEN,59,SSP119,False,2016,2050,0.570053953627857,-4.142671568627452e-05
117,AIS,PEN,59,SSP119,False,2051,2100,0.6084710964849998,5.741683673469387e-05
118,AIS,PEN,60,SSP119,False,2016,2050,0.4488082393421428,-1.1058333333333337e-05
119,AIS,PEN,60,SSP119,False,2051,2100,0.3603110964849999,-0.0003288602040816325
120,AIS,PEN,61,SSP119,False,2016,2050,0.5045796679135713,-3.5740441176470586e-05
121,AIS,PEN,61,SSP119,False,2051,2100,0.5904510964849998,1.8474319727891152e-05
122,AIS,PEN,62,SSP119,False,2016,2050,0.4523253821992856,1.2442647058823545e-05
123,AIS,PEN,62,SSP119,False,2051,2100,0.2861350964849999,0.0001242445578231292
124,AIS,PEN,63,SSP119,False,2016,2050,0.5394282393421428,3.7587745098039214e-05
125,AIS,PEN,63,SSP119,False,2051,2100,0.5595170964849998,0.00016823656462585025
126,AIS,PEN,64,SSP119,False,2016,2050,0.5592739536278569,-1.0374019607843147e-05
127,AIS,PEN,64,SSP119,False,2051,2100,0.5441550964849999,-3.853605442176874e-05
128,AIS,PEN,65,SSP119,False,2016,2050,0.5670253821992856,5.437475490196079e-05
129,AIS,PEN,65,SSP119,False,2051,2100,0.4218970964849999,0.00014158979591836728
130,AIS,PEN,66,SSP119,False,2016,2050,0.5086053821992855,4.655980392156864e-05
131,AIS,PEN,66,SSP119,False,2051,2100,0.5341710964849998,0.00017403775510204075
132,AIS,PEN,67,SSP119,False,2016,2050,0.4551568107707142,-8.809313725490192e-06
133,AIS,PEN,67,SSP119,False,2051,2100,0.4020010964849999,0.00020464336734693874
134,AIS,PEN,68,SSP119,False,2016,2050,0.4717368107707142,3.681666666666666e-05
135,AIS,PEN,68,SSP119,False,2051,2100,0.3165470964849999,0.0001457641156462585
136,AIS,PEN,69,SSP119,False,2016,2050,0.47673109648499984,-1.566936274509804e-05
137,AIS,PEN,69,SSP119,False,2051,2100,0.4638010964849999,-7.565816326530597e-06
138,AIS,PEN,70,SSP119,False,2016,2050,0.5676996679135713,-4.628186274509809e-06
139,AIS,PEN,70,SSP119,False,2051,2100,0.608289096485,-0.00010865068027210884
140,AIS,PEN,71,SSP119,False,2016,2050,0.5042025250564284,2.5647058823529317e-06
141,AIS,PEN,71,SSP119,False,2051,2100,0.43535509648499987,-8.181020408163263e-05
142,AIS,PEN,72,SSP119,False,2016,2050,0.6633053821992856,-9.619117647058823e-06
143,AIS,PEN,72,SSP119,False,2051,2100,0.707929096485,1.6420068027211152e-06
144,AIS,PEN,73,SSP119,False,2016,2050,0.551353953627857,6.079240196078431e-05
145,AIS,PEN,73,SSP119,False,2051,2100,0.43993509648499995,0.00024593707482993186
146,AIS,PEN,74,SSP119,False,2016,2050,0.5837968107707142,1.6041911764705888e-05
147,AIS,PEN,74,SSP119,False,2051,2100,0.530311096485,0.0002201795918367346
148,AIS,PEN,75,SSP119,False,2016,2050,0.5683453821992857,4.172769607843137e-05
149,AIS,PEN,75,SSP119,False,2051,2100,0.5062630964849999,3.969795918367348e-05
150,AIS,PEN,76,SSP119,False,2016,2050,0.6986368107707143,-2.273700980392157e-05
151,AIS,PEN,76,SSP119,False,2051,2100,0.7468690964849999,2.704591836734695e-05
152,AIS,PEN,77,SSP119,False,2016,2050,0.5131253821992857,9.889215686274511e-06
153,AIS,PEN,77,SSP119,False,2051,2100,0.39790509648499994,0.00026055153061224477
154,AIS,PEN,78,SSP119,False,2016,2050,0.5015196679135713,2.4843872549019602e-05
155,AIS,PEN,78,SSP119,False,2051,2100,0.488149096485,0.0002781610544217686
156,AIS,PEN,79,SSP119,False,2016,2050,0.5909282393421427,3.2444607843137257e-05
157,AIS,PEN,79,SSP119,False,2051,2100,0.7025630964849998,0.00021895901360544207
158,AIS,PEN,80,SSP119,False,2016,2050,0.5304253821992857,3.973553921568628e-05
159,AIS,PEN,80,SSP119,False,2051,2100,0.6220730964849999,0.00020514081632653044
160,AIS,PEN,81,SSP119,False,2016,2050,0.6398825250564285,4.612132352941176e-05
161,AIS,PEN,81,SSP119,False,2051,2100,0.606687096485,0.00019210833333333326
162,AIS,PEN,82,SSP119,False,2016,2050,0.5672425250564284,9.114705882352935e-06
163,AIS,PEN,82,SSP119,False,2051,2100,0.847123096485,-4.542619047619043e-05
164,AIS,PEN,83,SSP119,False,2016,2050,0.3976225250564285,-1.0064460784313734e-05
165,AIS,PEN,83,SSP119,False,2051,2100,0.2960170964849999,4.6639965986394565e-05
166,AIS,PEN,84,SSP119,False,2016,2050,0.7966996679135713,-1.5372549019607893e-06
167,AIS,PEN,84,SSP119,False,2051,2100,0.858965096485,5.924387755102042e-05
168,AIS,PEN,85,SSP119,False,2016,2050,0.3852996679135714,1.6326470588235293e-05
169,AIS,PEN,85,SSP119,False,2051,2100,0.2992150964849999,0.00012383367346938768
170,AIS,PEN,86,SSP119,False,2016,2050,0.6655539536278572,-7.537745098039222e-06
171,AIS,PEN,86,SSP119,False,2051,2100,0.8275730964849999,3.937942176870751e-05
172,AIS,PEN,87,SSP119,False,2016,2050,0.6030025250564284,3.020122549019609e-05
173,AIS,PEN,87,SSP119,False,2051,2100,0.711777096485,0.00010263282312925158
174,AIS,PEN,88,SSP119,False,2016,2050,0.6136310964849998,-2.6800735294117664e-05
175,AIS,PEN,88,SSP119,False,2051,2100,0.6064810964849999,-6.9291156462585e-05
176,AIS,PEN,89,SSP119,False,2016,2050,0.3979425250564284,6.249975490196079e-05
177,AIS,PEN,89,SSP119,False,2051,2100,0.31864109648499994,0.00024223707482993182
178,AIS,PEN,90,SSP119,False,2016,2050,0.5991682393421428,4.235147058823529e-05
179,AIS,PEN,90,SSP119,False,2051,2100,0.6416830964849999,0.00024752721088435364
180,AIS,PEN,91,SSP119,False,2016,2050,0.43299395362785703,-2.14232843137255e-05
181,AIS,PEN,91,SSP119,False,2051,2100,0.39467509648499993,1.9699829931972835e-05
182,AIS,PEN,92,SSP119,False,2016,2050,0.48708252505642846,-7.215196078431376e-06
183,AIS,PEN,92,SSP119,False,2051,2100,0.507929096485,-8.529914965986394e-05
184,AIS,PEN,93,SSP119,False,2016,2050,0.4926682393421428,4.6458823529411766e-05
185,AIS,PEN,93,SSP119,False,2051,2100,0.31996509648499993,0.00024421921768707464
186,AIS,PEN,94,SSP119,False,2016,2050,0.49491395362785706,1.960122549019609e-05
