,ice_source,region,sample,scenario,risk_averse,startyr,endyr,dTdt,Tavg,dSdt
0,AIS,PEN,1,SSP119,True,2016,2050,0.013350056022408904,0.6315196679135713,3.3989215686274514e-05
1,AIS,PEN,1,SSP119,True,2051,2100,-0.006096657863145226,0.5676250964849998,0.00036466870748299305
2,AIS,PEN,2,SSP119,True,2016,2050,0.007608095238095214,0.46779109648499995,4.0849264705882364e-05
3,AIS,PEN,2,SSP119,True,2051,2100,-0.004227279711884731,0.40248909648500003,0.00039845952380952363
4,AIS,PEN,3,SSP119,True,2016,2050,0.006799523809523782,0.437373953627857,3.214828431372549e-05
5,AIS,PEN,3,SSP119,True,2051,2100,-0.0030235054021608486,0.4020010964849999,0.0003867253401360543
6,AIS,PEN,4,SSP119,True,2016,2050,0.02210053221288495,0.6212996679135715,7.14154411764706e-05
7,AIS,PEN,4,SSP119,True,2051,2100,0.01273342136854736,1.3330530964849998,0.00038211887755102027
8,AIS,PEN,5,SSP119,True,2016,2050,0.02176571428571415,0.7717310964849999,5.12436274509804e-05
9,AIS,PEN,5,SSP119,True,2051,2100,-0.002597978391356528,0.9288330964849998,0.0003655464285714285
10,AIS,PEN,6,SSP119,True,2016,2050,0.007453809523809491,0.44069966791357135,3.578480392156864e-05
11,AIS,PEN,6,SSP119,True,2051,2100,-0.0021124177671068335,0.4381810964849999,0.000402591156462585
12,AIS,PEN,7,SSP119,True,2016,2050,0.008258291316526584,0.4692253821992856,4.2344852941176475e-05
13,AIS,PEN,7,SSP119,True,2051,2100,-0.0033001920768307206,0.4320370964849999,0.0003967438775510202
14,AIS,PEN,8,SSP119,True,2016,2050,0.01440507002801112,0.6048282393421427,4.793970588235294e-05
15,AIS,PEN,8,SSP119,True,2051,2100,-0.0024551404561824583,0.676109096485,0.00041384897959183655
16,AIS,PEN,9,SSP119,True,2016,2050,0.014447086834733816,0.5996253821992856,5.200122549019608e-05
17,AIS,PEN,9,SSP119,True,2051,2100,-0.005074890756302502,0.5755230964849999,0.00039789982993197254
18,AIS,PEN,10,SSP119,True,2016,2050,0.011693949579831872,0.5541996679135714,4.609436274509805e-05
19,AIS,PEN,10,SSP119,True,2051,2100,-0.001575875150060014,0.627319096485,0.00041602908163265295
20,AIS,PEN,11,SSP119,True,2016,2050,0.007326526610644227,0.44917681077071414,4.094191176470589e-05
21,AIS,PEN,11,SSP119,True,2051,2100,-0.002730713085234077,0.43346909648499987,0.00039862823129251676
22,AIS,PEN,12,SSP119,True,2016,2050,0.007595406162464959,0.46603395362785704,2.222916666666667e-05
23,AIS,PEN,12,SSP119,True,2051,2100,-0.0028900600240095863,0.44320509648499995,0.0002884476190476189
24,AIS,PEN,13,SSP119,True,2016,2050,0.01009324929971985,0.5380196679135714,6.689240196078433e-05
25,AIS,PEN,13,SSP119,True,2051,2100,-0.005884883553421339,0.4461010964849999,0.00037346870748299304
26,AIS,PEN,14,SSP119,True,2016,2050,0.0242203361344536,0.7917539536278569,3.444558823529412e-05
27,AIS,PEN,14,SSP119,True,2051,2100,0.003035923169267692,1.183433096485,0.00035416377551020396
28,AIS,PEN,15,SSP119,True,2016,2050,0.010783753501400498,0.524233953627857,3.725490196078432e-05
29,AIS,PEN,15,SSP119,True,2051,2100,-0.0021249219687875,0.574829096485,0.00036495765306122436
30,AIS,PEN,16,SSP119,True,2016,2050,0.010528123249299663,0.5150768107707143,6.81575980392157e-05
31,AIS,PEN,16,SSP119,True,2051,2100,-0.0020714765906362422,0.566365096485,0.00028901479591836716
32,AIS,PEN,17,SSP119,True,2016,2050,0.009650588235294076,0.5196939536278571,3.970220588235295e-05
33,AIS,PEN,17,SSP119,True,2051,2100,-0.0039551644657862895,0.4878490964849999,0.0003906619047619046
34,AIS,PEN,18,SSP119,True,2016,2050,0.009191540616246479,0.5362082393421428,5.7928186274509806e-05
35,AIS,PEN,18,SSP119,True,2051,2100,-0.006974069627851108,0.38637109648499995,0.0003598282312925167
36,AIS,PEN,19,SSP119,True,2016,2050,0.012839663865546148,0.567853953627857,3.202892156862746e-05
37,AIS,PEN,19,SSP119,True,2051,2100,-0.003031827130852324,0.615107096485,0.0003759755102040815
38,AIS,PEN,20,SSP119,True,2016,2050,0.0063047619047618825,0.42456538219928563,5.0785049019607854e-05
39,AIS,PEN,20,SSP119,True,2051,2100,-0.0030123265306122287,0.387361096485,0.00040518163265306124
40,AIS,PEN,21,SSP119,True,2016,2050,0.004956386554621852,0.40146823934214276,3.4529166666666675e-05
41,AIS,PEN,21,SSP119,True,2051,2100,-0.005280369747899139,0.2458730964849999,0.0002914537414965985
42,AIS,PEN,22,SSP119,True,2016,2050,0.025417366946778524,0.8173510964849999,3.079411764705884e-05
43,AIS,PEN,22,SSP119,True,2051,2100,-0.00056308283313325,1.1003830964849999,0.0003756840136054421
44,AIS,PEN,23,SSP119,True,2016,2050,0.009997394957983158,0.5275025250564286,4.263602941176472e-05
45,AIS,PEN,23,SSP119,True,2051,2100,-0.005479054021608619,0.4434490964849999,0.0003911787414965985
46,AIS,PEN,24,SSP119,True,2016,2050,0.013459747899159612,0.6252225250564285,5.184142156862745e-05
47,AIS,PEN,24,SSP119,True,2051,2100,-0.006358645858343306,0.544951096485,0.0002970102040816325
48,AIS,PEN,25,SSP119,True,2016,2050,0.012782997198879487,0.5773396679135713,5.478455882352941e-05
49,AIS,PEN,25,SSP119,True,2051,2100,-0.0032622040816326376,0.5923870964849999,0.00029928384353741485
50,AIS,PEN,26,SSP119,True,2016,2050,0.018718599439775788,0.6968053821992856,5.577205882352942e-05
51,AIS,PEN,26,SSP119,True,2051,2100,-0.0023489315726290395,0.8149210964849999,0.0004084146258503399
52,AIS,PEN,27,SSP119,True,2016,2050,0.014709635854341659,0.6293196679135713,5.192254901960784e-05
53,AIS,PEN,27,SSP119,True,2051,2100,-0.004625061224489769,0.6414050964849999,0.00032637602040816314
54,AIS,PEN,28,SSP119,True,2016,2050,0.005057142857142845,0.3942225250564285,4.2126715686274515e-05
55,AIS,PEN,28,SSP119,True,2051,2100,-0.002737162064825916,0.34788709648499994,0.00047141887755102016
56,AIS,PEN,29,SSP119,True,2016,2050,0.00915078431372546,0.5198139536278571,6.626936274509805e-05
57,AIS,PEN,29,SSP119,True,2051,2100,-0.0036843361344537588,0.502073096485,0.0003433079931972787
58,AIS,PEN,30,SSP119,True,2016,2050,0.008439327731092405,0.47981109648499987,1.1228921568627457e-05
59,AIS,PEN,30,SSP119,True,2051,2100,-0.0034972340936374404,0.4351610964849999,0.0003851765306122448
60,AIS,PEN,31,SSP119,True,2016,2050,0.004249299719887951,0.391453953627857,-5.9968137254902e-06
61,AIS,PEN,31,SSP119,True,2051,2100,-0.003639812725090017,0.3042930964849999,0.00043675068027210874
62,AIS,PEN,32,SSP119,True,2016,2050,0.01621417366946768,0.6412796679135714,3.1995343137254905e-05
63,AIS,PEN,32,SSP119,True,2051,2100,-0.0007779015606242443,0.800635096485,0.00046918282312925156
