,model_key,startyr,endyr,Tmin,Tmax,Npts,TSLS,sigmaTSLS,BalanceT,Intercept
0,ACCESS-CM2:p1:2016:2050,2016,2050,0.8902487032340787,1.2067324066426297,9,0.002106852469739767,0.0004962170404389437,-0.23724774080846492,0.0004998459886624944
1,ACCESS-CM2:p1:2051:2100,2051,2100,1.6625957322298746,3.768730543424852,9,0.0016401752483292949,0.00010750737341165353,0.49532160356702026,-0.000812414234133402
2,ACCESS-CM2:p1f1:historical,1850,2014,-0.6174942650132493,-0.06592813735750269,4,0.002178294997798214,0.0002513239416717537,-0.6414601156384585,0.0013972893611823181
3,ACCESS-ESM1-5:p1:2016:2050,2016,2050,0.6892855064460264,1.0862197213793363,9,0.0009501163974006474,0.001104911949386971,-1.5049282813549412,0.0014298570370273047
4,ACCESS-ESM1-5:p1:2051:2100,2051,2100,1.1561383399879899,3.209510394630456,9,0.0015484775494114989,0.00019222039398679444,0.2902008239233765,-0.0004493694606660679
5,ACCESS-ESM1-5:p1f1:historical,1850,2014,-0.8089585373724617,-0.09485506484247708,4,0.0015532057678420354,0.00024946917749736424,-1.0989163333203649,0.0017068431872890115
6,BCC-CSM2-MR:p1:2016:2050,2016,2050,0.6934293709054486,0.9584607284863296,3,0.0010126939575605862,0.0008700716957158887,-0.6629301941217497,0.0006713454018715623
7,BCC-CSM2-MR:p1f1:historical,1850,2014,-1.0245120115628763,-0.06417581140829043,12,0.001502496547798787,0.0002570907570996479,-1.069744828758339,0.0016072879122350093
8,BCC-ESM1:p1f1:historical,1850,2014,-0.5752089538863743,-0.060976803641437975,12,0.0023520227370411977,0.00039191754374690653,-0.6159668525454782,0.0014487680424506676
10,CAMS-CSM1-0:p1:2051:2100,2051,2100,0.6834955429736738,1.8830276698106445,3,0.0038223882750714607,0.0004504473484063574,0.3335754621409279,-0.0012750549353390268
11,CAMS-CSM1-0:p1f1:historical,1850,2014,-0.6542680539902221,-0.04888084546018945,4,0.0029934401668486113,0.0008756543340096511,-0.6104546623522685,0.0018273595063252872
12,CESM2:p1f1:historical,1850,2014,-0.9707167463753308,-0.054120916590989054,20,0.001632484967185983,0.00028939811933742683,-0.9636081606574575,0.001573075836531035
13,CIESM:p1f1:historical,1850,2014,-1.209504024469254,-0.06408262355142824,4,0.0011405945785487126,0.00036218234724213344,-1.5027173669412413,0.0017139912818241762
14,CMCC-CM2-SR5:p1:2016:2050,2016,2050,0.6999136383324185,0.9054922689683168,3,0.002407696176463202,5.0405825597499595e-05,-0.15115407196216268,0.0003639330811201428
15,CMCC-CM2-SR5:p1:2051:2100,2051,2100,1.566787788612885,3.2846455086901187,3,0.0014244936195879384,4.0335634616807244e-05,0.2697227025926947,-0.0003842182689013087
16,CMCC-CM2-SR5:p1f1:historical,1850,2014,-1.1084295897591687,-0.08586229979613336,4,0.0012580037942089236,0.00021036726502093165,-1.4224603069859207,0.0017894604632998786
17,CNRM-ESM2-1:p1f2:historical,1850,2014,-0.550837685287604,-0.042780455790136784,4,0.0020660241172980446,0.00018403166441021155,-0.517381439095373,0.00106892253101341
18,CanESM5:p1:2016:2050,2016,2050,0.8808841048273166,1.5790752666902677,26,0.0017105796762732473,0.00020693858637873158,-0.29954392377489036,0.0005123937481604702
19,CanESM5:p1:2051:2100,2051,2100,1.4935440535899716,4.610246449821716,26,0.001564896579530255,2.6151657673362358e-05,0.6951017434973263,-0.0010877623408244827
