,model,scenario,startyr,endyr,Tavg,Tavg_ice,p,ice_sample,risk_averse,Steric,WAIS,EAIS,PEN,GIC,GrIS,AIS,GMSL
0,CanESM5,SSP126,2016,2050,1.0494882536819374,0.7072076970910318,1,1,False,0.0025216637765756336,8.781274509803925e-05,6.857181372549018e-05,3.937377450980393e-05,0.0011756742647058825,0.0004909916666666668,0.00019575833333333335,0.004384088041281517
1,CIESM,SSP126,2051,2100,0.9927154479509568,0.9575245542338888,1,1,False,0.001886265755493528,0.00038466377551020373,-0.0004962450680272108,5.8254421768707424e-05,0.0011228972789115645,0.0002733030612244894,-5.332687074829964e-05,0.0032291392248812822
2,CanESM5,SSP245,2016,2050,1.194976259823011,0.7580391256624603,1,1,False,0.002956409838686425,0.00012158602941176477,-3.2788970588235324e-05,4.061004901960785e-05,0.0015455806372549025,0.000497461274509804,0.0001294071078431373,0.005128858858294269
3,GFDL-CM4,SSP245,2051,2100,1.8816062129430409,1.6506585542338883,1,1,False,0.0027391876366660147,0.0006502477891156457,-3.863129251700677e-05,4.189778911564621e-05,0.0012859460884353726,0.0006213156462585032,0.0006535142857142852,0.005299963657074175
4,IPSL-CM6A-LR,SSP585,2016,2050,0.9693976023840492,0.9483791256624604,1,1,False,0.002260038120116436,0.00011646225490196084,-6.993382352941162e-06,5.114705882352941e-05,0.0018031088235294125,0.0006489779411764707,0.0001606159313725491,0.004872740816194868
5,MRI-ESM2-0,SSP585,2051,2100,2.9054030154318866,3.048222554233889,1,1,False,0.005008306132302682,0.0013614338435374144,0.000266100170068027,0.0002519807823129251,0.0023565736394557803,0.0015285328231292507,0.0018795147959183665,0.01077292739080608
6,MRI-ESM2-0,SSP126,2016,2050,0.8199152760720949,0.5332962685196031,1,2,False,0.0027965522779932863,3.3653186274509805e-05,-2.0150000000000005e-05,-3.3524509803921584e-05,0.001038875,0.0004624343137254903,-2.0021323529411784e-05,0.004277840268189365
7,GFDL-ESM4,SSP126,2051,2100,0.8079829447541442,0.7044545542338889,1,2,False,0.0014570869527952373,4.650680272108833e-05,0.00014633452380952378,-7.53003401360544e-05,0.001204961904761904,0.0006082164965986392,0.00011754098639455771,0.003387806340550338
8,NorESM2-MM,SSP245,2016,2050,0.6712761306682182,0.5999819828053174,1,2,False,0.0021857554375566556,-5.3485294117647214e-06,-9.643333333333336e-05,-1.6613480392156876e-05,0.0010447571078431373,0.0006249656862745099,-0.00011839534313725496,0.0037370828885370474
9,MPI-ESM1-2-LR,SSP245,2051,2100,1.3124393801347765,1.2631265542338888,1,2,False,0.0020479686982385406,0.0008264061224489795,-0.00018588911564625847,-8.315357142857141e-05,0.0014731960884353734,0.0009845115646258495,0.0005573634353741496,0.0050630397866739145
10,FIO-ESM-2-0,SSP585,2016,2050,0.9214371822984616,0.7285476970910318,1,2,False,0.0027743269856708567,2.5437990196078446e-05,-1.5362745098039069e-06,-1.6120343137254906e-05,0.0014767041666666667,0.0006647237745098039,7.781372549019634e-06,0.004923536299396347
11,MPI-ESM1-2-HR,SSP585,2051,2100,2.3403294780634383,2.300254554233889,1,2,False,0.003633984720978897,0.0004672079931972789,-0.0004080246598639455,-7.267908163265304e-05,0.0018187168367346921,0.0011099168367346925,-1.3495748299319636e-05,0.0065491226461489626
12,NorESM2-LM,SSP126,2016,2050,0.4670428801305775,0.4871076970910317,1,3,False,0.0022100909520903276,0.0003772713235294118,9.016176470588237e-06,-1.3433333333333334e-05,0.000993792892156863,0.00025559975490196084,0.0003728541666666667,0.003832337765815818
13,INM-CM5-0,SSP126,2051,2100,0.726943907834027,0.6284425542338891,1,3,False,0.000873598661274127,0.0009564897959183672,0.0002784239795918368,2.4690816326530623e-05,0.0006731692176870743,-0.0006029748299319728,0.0012596045918367347,0.002203397640865963
14,FIO-ESM-2-0,SSP245,2016,2050,0.8358917844027474,0.5295391256624603,1,3,False,0.0028951019117295675,0.0003011360294117647,-6.0651960784313985e-06,-1.0389460784313734e-05,0.0010997051470588238,0.0004670860294117648,0.0002846813725490196,0.004746574460749176
15,FGOALS-g3,SSP245,2051,2100,1.1870082738879546,1.058684554233889,1,3,False,0.0016663406286898377,0.0016617120748299307,-0.0008408540816326527,-1.2099829931972778e-05,0.0011774231292516991,0.00026177261904761846,0.0008087581632653053,0.0039142945402544605
16,MIROC6,SSP585,2016,2050,0.6738777105920235,0.6347705542338891,1,3,False,0.0024120422568985112,0.00032341715686274507,-3.146642156862744e-05,-1.9562745098039213e-05,0.0011960914215686275,0.0004453166666666667,0.0002723879901960784,0.004325838335329884
17,FGOALS-g3,SSP585,2051,2100,2.192942474264328,1.8892985542338894,1,3,False,0.0035729067401799454,0.001964890986394557,0.00016009625850340142,-9.106802721088433e-06,0.001980991836734692,0.0016642671768707475,0.0021158804421768703,0.009334046195962254
18,FGOALS-f3-L,SSP126,2016,2050,0.6693756528384256,0.6424076970910317,1,4,False,0.001632430937478175,0.00014815857843137256,1.428921568627444e-06,1.758799019607843e-05,0.001298291911764706,0.0004739230392156863,0.00016717549019607843,0.0035718213786546456
19,HadGEM3-GC31-MM,SSP126,2051,2100,1.9696734328119303,1.5470585542338893,1,4,False,0.0028425915072370967,0.0005799709183673469,-6.75404761904761e-05,0.00022488877551020406,0.0013020642857142853,0.0010236581632653056,0.0007373192176870748,0.005905633173903762
20,INM-CM4-8,SSP245,2016,2050,0.5813349359816584,0.6384648399481746,1,4,False,0.0013550225762370331,3.173627450980393e-05,-4.6828921568627447e-05,3.22982843137255e-05,0.0012521186274509807,0.00044124558823529424,1.720563725490198e-05,0.00306559242917821
21,GFDL-CM4,SSP245,2051,2100,1.8816062129430409,1.8391225542338894,1,4,False,0.00244509400693192,0.0006645052721088433,-0.00031166241496598625,0.00011204897959183677,0.002014303231292515,0.00043009999999999934,0.00046489183673469384,0.0053543890749591285
22,FGOALS-g3,SSP585,2016,2050,0.6616401608673073,0.7020619828053175,1,4,False,0.0016101713471328523,0.0001599789215686275,-6.545343137254905e-05,4.2890686274509806e-05,0.0015294742647058827,0.0004763446078431373,0.00013741617647058826,0.0037534063961524606
23,NorESM2-LM,SSP585,2051,2100,2.3402745335117743,2.5444245542338892,1,4,False,0.004268228349608961,0.00044576598639455754,-0.00038493248299319713,0.000337833843537415,0.002468358503401359,0.0016077127551020393,0.0003986673469387754,0.008742966955051135
24,NESM3,SSP126,2016,2050,0.9210476527038622,0.8275648399481746,1,5,False,0.0019516479341269305,0.00010409754901960788,2.668014705882355e-05,2.425857843137255e-05,0.0013528845588235295,0.00036390318627450976,0.000155036274509804,0.003823471953734774
25,ACCESS-ESM1-5,SSP126,2051,2100,1.3087303572483695,1.3051285542338888,1,5,False,0.001752983401446794,9.982670068027205e-05,0.0007926008503401357,0.0002976129251700679,0.001245282142857142,-0.0004927068027210884,0.0011900404761904758,0.003695599217773323
26,CIESM,SSP245,2016,2050,1.007616937178739,0.8078305542338888,1,5,False,0.0032511955278707984,-1.5853186274509776e-05,0.00011734264705882352,1.20482843137255e-05,0.0016124737745098045,0.0005083227941176471,0.00011353774509803924,0.005485529841596289
27,MRI-ESM2-0,SSP245,2051,2100,1.7955010330638288,1.9106185542338887,1,5,False,0.0028165819430726272,0.0004397848639455778,0.0009420380952380947,0.0001460341836734693,0.0016021493197278902,0.0007911166666666664,0.001527857142857142,0.006737705072324325
28,NESM3,SSP585,2016,2050,1.2097694071913452,0.997613411376746,1,5,False,0.0028502470038209078,4.834607843137258e-05,3.393308823529413e-05,2.7521813725490198e-05,0.001837989460784314,0.0003941441176470589,0.0001098009803921569,0.0051921815626444386
29,EC-Earth3-CC,SSP585,2051,2100,2.9574455667666935,3.316148554233888,1,5,False,0.0035572146300497827,0.00048249778911564617,0.0007012450680272108,0.0002909284013605441,0.0026611508503401353,0.0019955175170068016,0.001474671258503401,0.00968855425590012
30,MPI-ESM1-2-HR,SSP126,2016,2050,0.4877387425366066,0.4762648399481746,1,6,False,0.0013574095870350967,0.00017767818627450988,-7.048995098039218e-05,2.414068627450981e-05,0.0008822355392156863,0.00022582303921568633,0.0001313289215686275,0.0025967970870350967
31,INM-CM4-8,SSP126,2051,2100,0.671358882154891,0.6179885542338889,1,6,False,0.0007380718335227548,0.00026172874149659847,0.00010799217687074828,0.00027480493197278906,0.0011323437074829926,-0.00015771496598639462,0.0006445258503401357,0.0023572264253594885
32,MIROC6,SSP245,2016,2050,0.5802405062116615,0.4904448399481747,1,6,False,0.0021831700407676257,4.61213235294118e-05,-6.796446078431372e-05,-1.4330882352941117e-06,0.0009584519607843141,0.00029458823529411766,-2.327622549019603e-05,0.0034129340113558614
33,MIROC6,SSP245,2051,2100,1.3559386365224482,0.9408185542338888,1,6,False,0.0031750875364129896,0.0001320761904761903,-0.0003576777210884352,0.0002215277210884353,0.0014075846938775506,0.00072261887755102,-4.073809523809585e-06,0.005301217298317751
34,MPI-ESM1-2-LR,SSP585,2016,2050,0.6053191235833424,0.5915162685196032,1,6,False,0.0018349401278171147,0.00016585318627450983,-3.83764705882353e-05,3.4453676470588256e-05,0.0011795747549019613,0.00021984583333333334,0.00016193039215686277,0.0033962911082092723
35,FGOALS-g3,SSP585,2051,2100,2.192942474264328,1.6333705542338888,1,6,False,0.003965581649233694,0.0005015348639455778,-1.88624149659864e-05,5.317823129251693e-05,0.0018474127551020387,-7.187176870748294e-05,0.0005358506802721083,0.006276973315900358
36,INM-CM4-8,SSP126,2016,2050,0.4655339702136985,0.5307619828053175,1,7,False,0.0011975511008842077,9.273921568627453e-05,0.00018173382352941177,-7.921323529411778e-06,0.0009040700980392156,0.0005953892156862746,0.0002665517156862745,0.0029635621302959722
37,FGOALS-g3,SSP126,2051,2100,0.5290303134441198,0.7140945542338889,1,7,False,0.00025239962262509346,-0.00026727823129251685,0.00032388962585033987,-4.6885034013605466e-05,0.0010332035714285704,0.0014768015306122436,9.726360544217557e-06,0.002772131085210125
38,EC-Earth3-CC,SSP245,2016,2050,0.5685827877334759,0.5888905542338888,1,7,False,0.0017223316553446237,0.00011011740196078435,0.0001814997549019608,-1.7792156862745105e-05,0.001172558823529412,0.0008162936274509804,0.00027382500000000006,0.003985009106325016
39,NorESM2-LM,SSP245,2051,2100,1.3226935749589568,1.2456425542338891,1,7,False,0.0029251946509014264,0.00015174574829931968,0.00010241326530612231,-5.7636054421768614e-05,0.001284109693877549,0.00162556513605442,0.00019652295918367335,0.006031392440017069
