Year	mm	1s
-2000	-52.44	160.35
-1980	-56.48	160.14
-1960	-60.75	159.90
-1940	-65.25	159.63
-1920	-69.99	159.31
-1900	-74.94	158.96
-1880	-80.10	158.56
-1860	-85.45	158.11
-1840	-90.97	157.61
-1820	-96.62	157.05
-1800	-102.36	156.43
-1780	-108.13	155.74
-1760	-113.87	154.99
-1740	-119.48	154.16
-1720	-124.87	153.27
-1700	-129.91	152.31
-1680	-134.45	151.28
-1660	-138.50	150.15
-1640	-142.12	148.89
-1620	-145.36	147.48
-1600	-148.23	145.88
-1580	-150.70	144.07
-1560	-152.73	142.02
-1540	-154.22	139.71
-1520	-155.07	137.13
-1500	-155.11	134.27
-1480	-154.14	131.14
-1460	-151.93	127.74
-1440	-148.18	124.11
-1420	-142.58	120.29
-1400	-135.05	116.32
-1380	-125.48	112.30
-1360	-113.69	108.33
-1340	-99.45	104.56
-1320	-82.44	101.15
-1300	-62.29	98.24
-1280	-39.54	95.71
-1260	-15.60	93.22
-1240	8.15	90.57
-1220	30.30	87.71
-1200	49.33	84.79
-1180	63.62	82.11
-1160	71.53	80.08
-1140	73.15	78.82
-1120	70.21	77.91
-1100	64.12	76.95
-1080	56.09	75.79
-1060	47.28	74.52
-1040	39.25	73.41
-1020	32.58	72.67
-1000	27.43	72.17
-980	24.45	71.77
-960	23.19	71.27
-940	22.71	70.49
-920	22.22	69.41
-900	21.35	68.14
-880	19.95	66.96
-860	17.45	66.09
-840	13.74	65.43
-820	10.49	64.91
-800	7.79	64.58
-780	4.70	64.40
-760	1.26	64.12
-740	-2.15	63.54
-720	-4.96	62.66
-700	-5.96	61.66
-680	-5.93	60.67
-660	-7.47	59.81
-640	-13.48	59.16
-620	-24.65	58.74
-600	-39.75	58.24
-580	-56.12	57.54
-560	-71.45	56.78
-540	-85.05	56.17
-520	-97.08	55.74
-500	-108.03	55.31
-480	-118.08	54.74
-460	-127.36	54.04
-440	-135.94	53.26
-420	-143.81	52.33
-400	-149.54	51.30
-380	-152.05	50.23
-360	-152.00	49.00
-340	-150.10	47.67
-320	-145.92	46.36
-300	-138.51	45.09
-280	-129.06	43.82
-260	-120.52	42.52
-240	-116.50	41.23
-220	-117.92	39.96
-200	-123.33	38.73
-180	-130.47	37.40
-160	-137.59	35.83
-140	-143.78	34.04
-120	-148.01	32.03
-100	-150.10	30.05
-80	-150.51	28.34
-60	-150.46	26.85
-40	-150.39	25.82
-20	-149.19	25.18
0	-146.87	24.89
20	-144.27	24.99
40	-141.24	25.30
60	-137.30	25.89
80	-132.55	26.86
100	-127.83	28.04
120	-122.34	29.55
140	-117.69	31.18
160	-115.46	32.70
180	-113.31	33.91
200	-109.69	34.73
220	-105.27	35.24
240	-101.61	35.67
260	-99.84	36.08
280	-98.41	36.40
